name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Docker	Platform	Container	docker	platform-docker	E7B0	P	dev
K3os	Platform	Container	k3os	platform-k3os	E810	P	dev
K3s	Platform	Container	k3s	platform-k3s	E811	P	dev
Kubernetes	Platform	Container	kubernetes	platform-kubernetes	E81D	P	dev
Podman	Platform	Container	podman	platform-podman	E866	P	dev
Android	Platform	OS	android	platform-android	E70E	P	dev
Apple	Platform	OS	apple	platform-apple	E711	P	dev
Archlinux	Platform	OS	archlinux	platform-archlinux	E732	P	dev
Centos	Platform	OS	centos	platform-centos	E78A	P	dev
Debian	Platform	OS	debian	platform-debian	E77D	P	dev
Fedora	Platform	OS	fedora	platform-fedora	E7D9	P	dev
Gentoo	Platform	OS	gentoo	platform-gentoo	E7E6	P	dev
Linux	Platform	OS	linux	platform-linux	E712	P	dev
Msdos	Platform	OS	msdos	platform-msdos	E837	P	dev
Nixos	Platform	OS	nixos	platform-nixos	E843	P	dev
Opensuse	Platform	OS	opensuse	platform-opensuse	E857	P	dev
RaspberryPi	Platform	OS	raspberry_pi	platform-raspberry-pi	E722	P	dev
Redhat	Platform	OS	redhat	platform-redhat	E7BB	P	dev
Rockylinux	Platform	OS	rockylinux	platform-rockylinux	E891	P	dev
Ubuntu	Platform	OS	ubuntu	platform-ubuntu	E73A	P	dev
Unix	Platform	OS	unix	platform-unix	E8CC	P	dev
Windows	Platform	OS	windows	platform-windows	E70F	P	dev
Windows11	Platform	OS	windows11	platform-windows11	E8E5	P	dev
