name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
LeftHalfCircleThick	PowerlineExtra	Curve	left_half_circle_thick	powerline-extra-left-half-circle-thick	E0B6	(	ple
LeftHalfCircleThin	PowerlineExtra	Curve	left_half_circle_thin	powerline-extra-left-half-circle-thin	E0B7	(	ple
RightHalfCircleThick	PowerlineExtra	Curve	right_half_circle_thick	powerline-extra-right-half-circle-thick	E0B4	)	ple
RightHalfCircleThin	PowerlineExtra	Curve	right_half_circle_thin	powerline-extra-right-half-circle-thin	E0B5	)	ple
LeftHardDivider	PowerlineExtra	Divider	left_hard_divider	powerline-extra-left-hard-divider	E0B0	>	ple
LeftHardDividerInverse	PowerlineExtra	Divider	left_hard_divider_inverse	powerline-extra-left-hard-divider-inverse	E0D7	>	ple
LeftSoftDivider	PowerlineExtra	Divider	left_soft_divider	powerline-extra-left-soft-divider	E0B1	>	ple
RightHardDivider	PowerlineExtra	Divider	right_hard_divider	powerline-extra-right-hard-divider	E0B2	<	ple
RightHardDividerInverse	PowerlineExtra	Divider	right_hard_divider_inverse	powerline-extra-right-hard-divider-inverse	E0D6	<	ple
RightSoftDivider	PowerlineExtra	Divider	right_soft_divider	powerline-extra-right-soft-divider	E0B3	<	ple
FlameThick	PowerlineExtra	Pattern	flame_thick	powerline-extra-flame-thick	E0C0	~	ple
FlameThickMirrored	PowerlineExtra	Pattern	flame_thick_mirrored	powerline-extra-flame-thick-mirrored	E0C2	~	ple
FlameThin	PowerlineExtra	Pattern	flame_thin	powerline-extra-flame-thin	E0C1	~	ple
FlameThinMirrored	PowerlineExtra	Pattern	flame_thin_mirrored	powerline-extra-flame-thin-mirrored	E0C3	~	ple
Honeycomb	PowerlineExtra	Pattern	honeycomb	powerline-extra-honeycomb	E0CC	#	ple
HoneycombOutline	PowerlineExtra	Pattern	honeycomb_outline	powerline-extra-honeycomb-outline	E0CD	#	ple
IceWaveform	PowerlineExtra	Pattern	ice_waveform	powerline-extra-ice-waveform	E0C8	~	ple
IceWaveformMirrored	PowerlineExtra	Pattern	ice_waveform_mirrored	powerline-extra-ice-waveform-mirrored	E0CA	~	ple
LegoBlockFacing	PowerlineExtra	Pattern	lego_block_facing	powerline-extra-lego-block-facing	E0D0	#	ple
LegoBlockSideways	PowerlineExtra	Pattern	lego_block_sideways	powerline-extra-lego-block-sideways	E0D1	#	ple
LegoSeparator	PowerlineExtra	Pattern	lego_separator	powerline-extra-lego-separator	E0CE	/	ple
LegoSeparatorThin	PowerlineExtra	Pattern	lego_separator_thin	powerline-extra-lego-separator-thin	E0CF	/	ple
PixelatedSquaresBig	PowerlineExtra	Pattern	pixelated_squares_big	powerline-extra-pixelated-squares-big	E0C6	#	ple
PixelatedSquaresBigMirrored	PowerlineExtra	Pattern	pixelated_squares_big_mirrored	powerline-extra-pixelated-squares-big-mirrored	E0C7	#	ple
PixelatedSquaresSmall	PowerlineExtra	Pattern	pixelated_squares_small	powerline-extra-pixelated-squares-small	E0C4	#	ple
PixelatedSquaresSmallMirrored	PowerlineExtra	Pattern	pixelated_squares_small_mirrored	powerline-extra-pixelated-squares-small-mirrored	E0C5	#	ple
TrapezoidTopBottom	PowerlineExtra	Pattern	trapezoid_top_bottom	powerline-extra-trapezoid-top-bottom	E0D2	/	ple
TrapezoidTopBottomMirrored	PowerlineExtra	Pattern	trapezoid_top_bottom_mirrored	powerline-extra-trapezoid-top-bottom-mirrored	E0D4	/	ple
BackslashSeparator	PowerlineExtra	Separator	backslash_separator	powerline-extra-backslash-separator	E0B9	/	ple
BackslashSeparatorRedundant	PowerlineExtra	Separator	backslash_separator_redundant	powerline-extra-backslash-separator-redundant	E0BF	/	ple
ForwardslashSeparator	PowerlineExtra	Separator	forwardslash_separator	powerline-extra-forwardslash-separator	E0BB	/	ple
ForwardslashSeparatorRedundant	PowerlineExtra	Separator	forwardslash_separator_redundant	powerline-extra-forwardslash-separator-redundant	E0BD	/	ple
LowerLeftTriangle	PowerlineExtra	Separator	lower_left_triangle	powerline-extra-lower-left-triangle	E0B8	/	ple
LowerRightTriangle	PowerlineExtra	Separator	lower_right_triangle	powerline-extra-lower-right-triangle	E0BA	/	ple
UpperLeftTriangle	PowerlineExtra	Separator	upper_left_triangle	powerline-extra-upper-left-triangle	E0BC	/	ple
UpperRightTriangle	PowerlineExtra	Separator	upper_right_triangle	powerline-extra-upper-right-triangle	E0BE	/	ple
