name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Circle	Shape	Basic	circle	fa-shape-circle	F111	O	fa
CircleArrowDown	Shape	Basic	circle_arrow_down	fa-shape-circle-arrow-down	F0AB	O	fa
CircleArrowLeft	Shape	Basic	circle_arrow_left	fa-shape-circle-arrow-left	F0A8	O	fa
CircleArrowRight	Shape	Basic	circle_arrow_right	fa-shape-circle-arrow-right	F0A9	O	fa
CircleArrowUp	Shape	Basic	circle_arrow_up	fa-shape-circle-arrow-up	F0AA	O	fa
CircleCheck	Shape	Basic	circle_check	fa-shape-circle-check	F05D	O	fa
CircleChevronDown	Shape	Basic	circle_chevron_down	fa-shape-circle-chevron-down	F13A	O	fa
CircleChevronLeft	Shape	Basic	circle_chevron_left	fa-shape-circle-chevron-left	F137	O	fa
CircleChevronRight	Shape	Basic	circle_chevron_right	fa-shape-circle-chevron-right	F138	O	fa
CircleChevronUp	Shape	Basic	circle_chevron_up	fa-shape-circle-chevron-up	F139	O	fa
CircleDollarToSlot	Shape	Basic	circle_dollar_to_slot	fa-shape-circle-dollar-to-slot	ED98	O	fa
CircleDot	Shape	Basic	circle_dot	fa-shape-circle-dot	F192	O	fa
CircleDown	Shape	Basic	circle_down	fa-shape-circle-down	F01A	O	fa
CircleExclamation	Shape	Basic	circle_exclamation	fa-shape-circle-exclamation	F06A	O	fa
CircleH	Shape	Basic	circle_h	fa-shape-circle-h	ED83	O	fa
CircleHalfStroke	Shape	Basic	circle_half_stroke	fa-shape-circle-half-stroke	F042	O	fa
CircleInfo	Shape	Basic	circle_info	fa-shape-circle-info	F05A	O	fa
CircleLeft	Shape	Basic	circle_left	fa-shape-circle-left	F190	O	fa
CircleMinus	Shape	Basic	circle_minus	fa-shape-circle-minus	F056	O	fa
CircleNotch	Shape	Basic	circle_notch	fa-shape-circle-notch	F1CE	O	fa
CircleO	Shape	Basic	circle_o	fa-shape-circle-o	F10C	O	fa
CirclePause	Shape	Basic	circle_pause	fa-shape-circle-pause	F28B	O	fa
CirclePlay	Shape	Basic	circle_play	fa-shape-circle-play	F144	O	fa
CirclePlus	Shape	Basic	circle_plus	fa-shape-circle-plus	F055	O	fa
CircleQuestion	Shape	Basic	circle_question	fa-shape-circle-question	F059	O	fa
CircleRadiation	Shape	Basic	circle_radiation	fa-shape-circle-radiation	EF5B	O	fa
CircleRight	Shape	Basic	circle_right	fa-shape-circle-right	F18E	O	fa
CircleStop	Shape	Basic	circle_stop	fa-shape-circle-stop	F28D	O	fa
CircleThin	Shape	Basic	circle_thin	fa-shape-circle-thin	F1DB	O	fa
CircleUp	Shape	Basic	circle_up	fa-shape-circle-up	F01B	O	fa
CircleUser	Shape	Basic	circle_user	fa-shape-circle-user	F2BD	O	fa
CircleXmark	Shape	Basic	circle_xmark	fa-shape-circle-xmark	F05C	O	fa
DiamondTurnRight	Shape	Basic	diamond_turn_right	fa-shape-diamond-turn-right	EEA2	O	fa
Ring	Shape	Basic	ring	fa-shape-ring	EF0B	O	fa
Star	Shape	Basic	star	fa-shape-star	F005	O	fa
StarAndCrescent	Shape	Basic	star_and_crescent	fa-shape-star-and-crescent	EEE1	O	fa
StarHalf	Shape	Basic	star_half	fa-shape-star-half	F089	O	fa
StarHalfO	Shape	Basic	star_half_o	fa-shape-star-half-o	F123	O	fa
StarHalfStroke	Shape	Basic	star_half_stroke	fa-shape-star-half-stroke	EE87	O	fa
StarO	Shape	Basic	star_o	fa-shape-star-o	F006	O	fa
StarOfDavid	Shape	Basic	star_of_david	fa-shape-star-of-david	EEE2	O	fa
StarOfLife	Shape	Basic	star_of_life	fa-shape-star-of-life	EEB1	O	fa
TriangleExclamation	Shape	Basic	triangle_exclamation	fa-shape-triangle-exclamation	F071	O	fa
Shapes	Shape	Misc	shapes	fa-shape-shapes	EEB0	O	fa
Cube	Shape	Polygon	cube	fa-shape-cube	F1B2	O	fa
