name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Braille	Sign	Access	braille	fa-sign-braille	F2A1	!	fa
UniversalAccess	Sign	Access	universal_access	fa-sign-universal-access	F29A	!	fa
BorderAll	Sign	Border	border_all	fa-sign-border-all	EFA3	!	fa
BorderNone	Sign	Border	border_none	fa-sign-border-none	EFA4	!	fa
BorderTopLeft	Sign	Border	border_top_left	fa-sign-border-top-left	EFA5	!	fa
RectangleAd	Sign	Border	rectangle_ad	fa-sign-rectangle-ad	EEBB	!	fa
RectangleList	Sign	Border	rectangle_list	fa-sign-rectangle-list	F022	!	fa
RectangleXmark	Sign	Border	rectangle_xmark	fa-sign-rectangle-xmark	F2D4	!	fa
ICursor	Sign	Layout	i_cursor	fa-sign-i-cursor	F246	!	fa
ObjectGroup	Sign	Layout	object_group	fa-sign-object-group	F247	!	fa
ObjectUngroup	Sign	Layout	object_ungroup	fa-sign-object-ungroup	F248	!	fa
Recycle	Sign	Legal	recycle	fa-sign-recycle	F1B8	!	fa
Registered	Sign	Legal	registered	fa-sign-registered	F25D	!	fa
Trademark	Sign	Legal	trademark	fa-sign-trademark	F25C	!	fa
GreaterThan	Sign	Math	greater_than	fa-sign-greater-than	EDFB	!	fa
GreaterThanEqual	Sign	Math	greater_than_equal	fa-sign-greater-than-equal	EDFC	!	fa
Infinity	Sign	Math	infinity	fa-sign-infinity	EDFE	!	fa
Minus	Sign	Math	minus	fa-sign-minus	F068	!	fa
MinusSquareO	Sign	Math	minus_square_o	fa-sign-minus-square-o	F147	!	fa
NotEqual	Sign	Math	not_equal	fa-sign-not-equal	EFCB	!	fa
Plus	Sign	Math	plus	fa-sign-plus	F067	!	fa
PlusSquareO	Sign	Math	plus_square_o	fa-sign-plus-square-o	F196	!	fa
Asterisk	Sign	Misc	asterisk	fa-sign-asterisk	F069	!	fa
Bullseye	Sign	Misc	bullseye	fa-sign-bullseye	F140	!	fa
Info	Sign	Misc	info	fa-sign-info	F129	!	fa
Question	Sign	Misc	question	fa-sign-question	F128	!	fa
QuestionCircleO	Sign	Misc	question_circle_o	fa-sign-question-circle-o	F29C	!	fa
SpellCheck	Sign	Misc	spell_check	fa-sign-spell-check	EFB3	!	fa
Thumbtack	Sign	Misc	thumbtack	fa-sign-thumbtack	F08D	!	fa
WaveSquare	Sign	Misc	wave_square	fa-sign-wave-square	EF9D	!	fa
Ban	Sign	Status	ban	fa-sign-ban	F05E	!	fa
BanSmoking	Sign	Status	ban_smoking	fa-sign-ban-smoking	EE16	!	fa
Check	Sign	Status	check	fa-sign-check	F00C	!	fa
CheckDouble	Sign	Status	check_double	fa-sign-check-double	EE29	!	fa
CheckSquareO	Sign	Status	check_square_o	fa-sign-check-square-o	F046	!	fa
CheckToSlot	Sign	Status	check_to_slot	fa-sign-check-to-slot	EF2F	!	fa
OkSign	Sign	Status	ok_sign	fa-sign-ok-sign	F058	!	fa
RemoveSign	Sign	Status	remove_sign	fa-sign-remove-sign	F057	!	fa
Slash	Sign	Status	slash	fa-sign-slash	EF0F	!	fa
Spinner	Sign	Status	spinner	fa-sign-spinner	F110	!	fa
Xmark	Sign	Status	xmark	fa-sign-xmark	F00D	!	fa
