name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Diff	SourceControl	Diff	diff	source-control-diff	EAE1	D	cod
Diff	SourceControl	Diff	diff	source-control-diff	F440	D	oct
DiffAdded	SourceControl	Diff	diff_added	source-control-diff-added	EADC	D	cod
DiffAdded	SourceControl	Diff	diff_added	source-control-diff-added	F457	D	oct
DiffIgnored	SourceControl	Diff	diff_ignored	source-control-diff-ignored	EADD	D	cod
DiffIgnored	SourceControl	Diff	diff_ignored	source-control-diff-ignored	F474	D	oct
DiffModified	SourceControl	Diff	diff_modified	source-control-diff-modified	EADE	D	cod
DiffModified	SourceControl	Diff	diff_modified	source-control-diff-modified	F459	D	oct
DiffRemoved	SourceControl	Diff	diff_removed	source-control-diff-removed	EADF	D	cod
DiffRemoved	SourceControl	Diff	diff_removed	source-control-diff-removed	F458	D	oct
DiffRenamed	SourceControl	Diff	diff_renamed	source-control-diff-renamed	EAE0	D	cod
DiffRenamed	SourceControl	Diff	diff_renamed	source-control-diff-renamed	F45A	D	oct
FileDiff	SourceControl	Diff	file_diff	source-control-file-diff	F4D2	D	oct
Commit	SourceControl	Git	commit	source-control-commit	F4B6	G	oct
GitBranch	SourceControl	Git	git_branch	source-control-git-branch	F418	G	oct
GitCommit	SourceControl	Git	git_commit	source-control-git-commit	EAFC	G	cod
GitCommit	SourceControl	Git	git_commit	source-control-git-commit	F417	G	oct
GitCompare	SourceControl	Git	git_compare	source-control-git-compare	EAFD	G	cod
GitCompare	SourceControl	Git	git_compare	source-control-git-compare	F47F	G	oct
GitFetch	SourceControl	Git	git_fetch	source-control-git-fetch	EC1D	G	cod
GitMerge	SourceControl	Git	git_merge	source-control-git-merge	EAFE	G	cod
GitMerge	SourceControl	Git	git_merge	source-control-git-merge	F419	G	oct
GitMergeQueue	SourceControl	Git	git_merge_queue	source-control-git-merge-queue	F4DB	G	oct
GitPullRequest	SourceControl	Git	git_pull_request	source-control-git-pull-request	EA64	G	cod
GitPullRequest	SourceControl	Git	git_pull_request	source-control-git-pull-request	F407	G	oct
GitPullRequestClosed	SourceControl	Git	git_pull_request_closed	source-control-git-pull-request-closed	EBDA	G	cod
GitPullRequestClosed	SourceControl	Git	git_pull_request_closed	source-control-git-pull-request-closed	F4DC	G	oct
GitPullRequestCreate	SourceControl	Git	git_pull_request_create	source-control-git-pull-request-create	EBBC	G	cod
GitPullRequestDraft	SourceControl	Git	git_pull_request_draft	source-control-git-pull-request-draft	EBDB	G	cod
GitPullRequestDraft	SourceControl	Git	git_pull_request_draft	source-control-git-pull-request-draft	F4DD	G	oct
GitPullRequestGoToChanges	SourceControl	Git	git_pull_request_go_to_changes	source-control-git-pull-request-go-to-changes	EC0B	G	cod
GitPullRequestNewChanges	SourceControl	Git	git_pull_request_new_changes	source-control-git-pull-request-new-changes	EC0C	G	cod
