name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Appwrite	TechCloud	BaaS	appwrite	tech-cloud-appwrite	E731	C	dev
Cloudflareworkers	TechCloud	BaaS	cloudflareworkers	tech-cloud-cloudflareworkers	E793	C	dev
Supabase	TechCloud	BaaS	supabase	tech-cloud-supabase	E8B6	C	dev
Apacheairflow	TechCloud	DataPlatform	apacheairflow	tech-cloud-apacheairflow	E72C	C	dev
Apachekafka	TechCloud	DataPlatform	apachekafka	tech-cloud-apachekafka	E72E	C	dev
Apachespark	TechCloud	DataPlatform	apachespark	tech-cloud-apachespark	E72F	C	dev
Hadoop	TechCloud	DataPlatform	hadoop	tech-cloud-hadoop	E7F6	C	dev
Pulsar	TechCloud	DataPlatform	pulsar	tech-cloud-pulsar	E872	C	dev
Rabbitmq	TechCloud	DataPlatform	rabbitmq	tech-cloud-rabbitmq	E882	C	dev
Azuredevops	TechCloud	Identity	azuredevops	tech-cloud-azuredevops	E756	C	dev
Oauth	TechCloud	Identity	oauth	tech-cloud-oauth	E84C	C	dev
Okta	TechCloud	Identity	okta	tech-cloud-okta	E850	C	dev
Ory	TechCloud	Identity	ory	tech-cloud-ory	E85A	C	dev
Grafana	TechCloud	Observability	grafana	tech-cloud-grafana	E7F3	C	dev
Jaegertracing	TechCloud	Observability	jaegertracing	tech-cloud-jaegertracing	E803	C	dev
Kibana	TechCloud	Observability	kibana	tech-cloud-kibana	E818	C	dev
Logstash	TechCloud	Observability	logstash	tech-cloud-logstash	E825	C	dev
Opentelemetry	TechCloud	Observability	opentelemetry	tech-cloud-opentelemetry	E858	C	dev
Prometheus	TechCloud	Observability	prometheus	tech-cloud-prometheus	E870	C	dev
Splunk	TechCloud	Observability	splunk	tech-cloud-splunk	E8AB	C	dev
Ansible	TechCloud	Orchestration	ansible	tech-cloud-ansible	E723	C	dev
Argocd	TechCloud	Orchestration	argocd	tech-cloud-argocd	E734	C	dev
Consul	TechCloud	Orchestration	consul	tech-cloud-consul	E79A	C	dev
Envoy	TechCloud	Orchestration	envoy	tech-cloud-envoy	E7D1	C	dev
Harvester	TechCloud	Orchestration	harvester	tech-cloud-harvester	E7F9	C	dev
Helm	TechCloud	Orchestration	helm	tech-cloud-helm	E7FB	C	dev
Nomad	TechCloud	Orchestration	nomad	tech-cloud-nomad	E846	C	dev
Packer	TechCloud	Orchestration	packer	tech-cloud-packer	E85C	C	dev
Portainer	TechCloud	Orchestration	portainer	tech-cloud-portainer	E869	C	dev
Pulumi	TechCloud	Orchestration	pulumi	tech-cloud-pulumi	E873	C	dev
Rancher	TechCloud	Orchestration	rancher	tech-cloud-rancher	E884	C	dev
Terraform	TechCloud	Orchestration	terraform	tech-cloud-terraform	E8BD	C	dev
Traefikmesh	TechCloud	Orchestration	traefikmesh	tech-cloud-traefikmesh	E8C6	C	dev
Traefikproxy	TechCloud	Orchestration	traefikproxy	tech-cloud-traefikproxy	E8C7	C	dev
Vagrant	TechCloud	Orchestration	vagrant	tech-cloud-vagrant	E8D0	C	dev
Vault	TechCloud	Orchestration	vault	tech-cloud-vault	E8D2	C	dev
Vsphere	TechCloud	Orchestration	vsphere	tech-cloud-vsphere	E8DB	C	dev
Amazonwebservices	TechCloud	Provider	amazonwebservices	tech-cloud-amazonwebservices	E7AD	C	dev
Azure	TechCloud	Provider	azure	tech-cloud-azure	E754	C	dev
Cloudflare	TechCloud	Provider	cloudflare	tech-cloud-cloudflare	E792	C	dev
Digitalocean	TechCloud	Provider	digitalocean	tech-cloud-digitalocean	E7AE	C	dev
Firebase	TechCloud	Provider	firebase	tech-cloud-firebase	E787	C	dev
Googlecloud	TechCloud	Provider	googlecloud	tech-cloud-googlecloud	E7F1	C	dev
Heroku	TechCloud	Provider	heroku	tech-cloud-heroku	E77B	C	dev
Netlify	TechCloud	Provider	netlify	tech-cloud-netlify	E83C	C	dev
Openstack	TechCloud	Provider	openstack	tech-cloud-openstack	E856	C	dev
Oracle	TechCloud	Provider	oracle	tech-cloud-oracle	E859	C	dev
Railway	TechCloud	Provider	railway	tech-cloud-railway	E883	C	dev
Salesforce	TechCloud	Provider	salesforce	tech-cloud-salesforce	E898	C	dev
Scalingo	TechCloud	Provider	scalingo	tech-cloud-scalingo	E89A	C	dev
Vercel	TechCloud	Provider	vercel	tech-cloud-vercel	E8D3	C	dev
Nginx	TechCloud	WebServer	nginx	tech-cloud-nginx	E776	C	dev
Tomcat	TechCloud	WebServer	tomcat	tech-cloud-tomcat	E8C3	C	dev
Uwsgi	TechCloud	WebServer	uwsgi	tech-cloud-uwsgi	E8CE	C	dev
