name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Redis	TechDatabase	Cache	redis	tech-database-redis	E76D	D	dev
Cosmosdb	TechDatabase	NoSQL	cosmosdb	tech-database-cosmosdb	E79F	D	dev
Couchbase	TechDatabase	NoSQL	couchbase	tech-database-couchbase	E7A0	D	dev
Couchdb	TechDatabase	NoSQL	couchdb	tech-database-couchdb	E7A2	D	dev
Dynamodb	TechDatabase	NoSQL	dynamodb	tech-database-dynamodb	E7C8	D	dev
Faunadb	TechDatabase	NoSQL	faunadb	tech-database-faunadb	E7D7	D	dev
Influxdb	TechDatabase	NoSQL	influxdb	tech-database-influxdb	E800	D	dev
Mongodb	TechDatabase	NoSQL	mongodb	tech-database-mongodb	E7A4	D	dev
Neo4j	TechDatabase	NoSQL	neo4j	tech-database-neo4j	E839	D	dev
Rocksdb	TechDatabase	NoSQL	rocksdb	tech-database-rocksdb	E890	D	dev
Doctrine	TechDatabase	ORM	doctrine	tech-database-doctrine	E774	D	dev
Ecto	TechDatabase	ORM	ecto	tech-database-ecto	E7C9	D	dev
Hibernate	TechDatabase	ORM	hibernate	tech-database-hibernate	E7FC	D	dev
Knexjs	TechDatabase	ORM	knexjs	tech-database-knexjs	E819	D	dev
Mongoose	TechDatabase	ORM	mongoose	tech-database-mongoose	E835	D	dev
Nhibernate	TechDatabase	ORM	nhibernate	tech-database-nhibernate	E840	D	dev
Prisma	TechDatabase	ORM	prisma	tech-database-prisma	E86E	D	dev
Realm	TechDatabase	ORM	realm	tech-database-realm	E88A	D	dev
Sequelize	TechDatabase	ORM	sequelize	tech-database-sequelize	E8A0	D	dev
Sqlalchemy	TechDatabase	ORM	sqlalchemy	tech-database-sqlalchemy	E8AF	D	dev
Azuresqldatabase	TechDatabase	SQL	azuresqldatabase	tech-database-azuresqldatabase	E75B	D	dev
Cassandra	TechDatabase	SQL	cassandra	tech-database-cassandra	E789	D	dev
Database	TechDatabase	SQL	database	tech-database-database	E706	D	dev
Liquibase	TechDatabase	SQL	liquibase	tech-database-liquibase	E821	D	dev
Mariadb	TechDatabase	SQL	mariadb	tech-database-mariadb	E828	D	dev
Microsoftsqlserver	TechDatabase	SQL	microsoftsqlserver	tech-database-microsoftsqlserver	E82E	D	dev
Mysql	TechDatabase	SQL	mysql	tech-database-mysql	E704	D	dev
Postgresql	TechDatabase	SQL	postgresql	tech-database-postgresql	E76E	D	dev
Sqldeveloper	TechDatabase	SQL	sqldeveloper	tech-database-sqldeveloper	E8B0	D	dev
Sqlite	TechDatabase	SQL	sqlite	tech-database-sqlite	E7C4	D	dev
Vitess	TechDatabase	SQL	vitess	tech-database-vitess	E8D8	D	dev
Yugabytedb	TechDatabase	SQL	yugabytedb	tech-database-yugabytedb	E8ED	D	dev
Elasticsearch	TechDatabase	Search	elasticsearch	tech-database-elasticsearch	E7CA	D	dev
