name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Atom	TechEditor	Editor	atom	tech-editor-atom	E764	E	dev
Emacs	TechEditor	Editor	emacs	tech-editor-emacs	E7CF	E	dev
Nano	TechEditor	Editor	nano	tech-editor-nano	E838	E	dev
Neovim	TechEditor	Editor	neovim	tech-editor-neovim	E83A	E	dev
Sublime	TechEditor	Editor	sublime	tech-editor-sublime	E7AA	E	dev
Vim	TechEditor	Editor	vim	tech-editor-vim	E7C5	E	dev
Androidstudio	TechEditor	IDE	androidstudio	tech-editor-androidstudio	E71A	E	dev
Clion	TechEditor	IDE	clion	tech-editor-clion	E78E	E	dev
Codepen	TechEditor	IDE	codepen	tech-editor-codepen	E716	E	dev
Datagrip	TechEditor	IDE	datagrip	tech-editor-datagrip	E7BD	E	dev
Dataspell	TechEditor	IDE	dataspell	tech-editor-dataspell	E7BE	E	dev
Dbeaver	TechEditor	IDE	dbeaver	tech-editor-dbeaver	E7BF	E	dev
Dreamweaver	TechEditor	IDE	dreamweaver	tech-editor-dreamweaver	E79C	E	dev
Eclipse	TechEditor	IDE	eclipse	tech-editor-eclipse	E79E	E	dev
Goland	TechEditor	IDE	goland	tech-editor-goland	E7EF	E	dev
Intellij	TechEditor	IDE	intellij	tech-editor-intellij	E7B5	E	dev
Jetbrains	TechEditor	IDE	jetbrains	tech-editor-jetbrains	E808	E	dev
Labview	TechEditor	IDE	labview	tech-editor-labview	E81E	E	dev
Phpstorm	TechEditor	IDE	phpstorm	tech-editor-phpstorm	E862	E	dev
Pycharm	TechEditor	IDE	pycharm	tech-editor-pycharm	E877	E	dev
Qodana	TechEditor	IDE	qodana	tech-editor-qodana	E87C	E	dev
Replit	TechEditor	IDE	replit	tech-editor-replit	E88E	E	dev
Rider	TechEditor	IDE	rider	tech-editor-rider	E88F	E	dev
Rstudio	TechEditor	IDE	rstudio	tech-editor-rstudio	E895	E	dev
Rubymine	TechEditor	IDE	rubymine	tech-editor-rubymine	E896	E	dev
Spyder	TechEditor	IDE	spyder	tech-editor-spyder	E8AE	E	dev
Visualstudio	TechEditor	IDE	visualstudio	tech-editor-visualstudio	E70C	E	dev
Vscode	TechEditor	IDE	vscode	tech-editor-vscode	E8DA	E	dev
Webstorm	TechEditor	IDE	webstorm	tech-editor-webstorm	E8E4	E	dev
Xcode	TechEditor	IDE	xcode	tech-editor-xcode	E8E8	E	dev
Ohmyzsh	TechEditor	Terminal	ohmyzsh	tech-editor-ohmyzsh	E84F	E	dev
Putty	TechEditor	Terminal	putty	tech-editor-putty	E876	E	dev
Ssh	TechEditor	Terminal	ssh	tech-editor-ssh	E8B1	E	dev
Terminal	TechEditor	Terminal	terminal	tech-editor-terminal	E795	E	dev
