name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Contao	TechFramework	CMS	contao	tech-framework-contao	E79B	F	dev
Drupal	TechFramework	CMS	drupal	tech-framework-drupal	E742	F	dev
Eleventy	TechFramework	CMS	eleventy	tech-framework-eleventy	E7CC	F	dev
Ghost	TechFramework	CMS	ghost	tech-framework-ghost	E71F	F	dev
GhostSmall	TechFramework	CMS	ghost_small	tech-framework-ghost-small	E714	F	dev
Hugo	TechFramework	CMS	hugo	tech-framework-hugo	E7FE	F	dev
Jekyll	TechFramework	CMS	jekyll	tech-framework-jekyll	E70D	F	dev
Magento	TechFramework	CMS	magento	tech-framework-magento	E740	F	dev
Modx	TechFramework	CMS	modx	tech-framework-modx	E833	F	dev
Moodle	TechFramework	CMS	moodle	tech-framework-moodle	E836	F	dev
Sanity	TechFramework	CMS	sanity	tech-framework-sanity	E899	F	dev
Shopware	TechFramework	CMS	shopware	tech-framework-shopware	E8A1	F	dev
Typo3	TechFramework	CMS	typo3	tech-framework-typo3	E772	F	dev
Woocommerce	TechFramework	CMS	woocommerce	tech-framework-woocommerce	E8E6	F	dev
Wordpress	TechFramework	CMS	wordpress	tech-framework-wordpress	E70B	F	dev
Blazor	TechFramework	Desktop	blazor	tech-framework-blazor	E765	F	dev
Electron	TechFramework	Desktop	electron	tech-framework-electron	E7CB	F	dev
Tauri	TechFramework	Desktop	tauri	tech-framework-tauri	E8BB	F	dev
Aftereffects	TechFramework	Framework	aftereffects	tech-framework-aftereffects	E705	F	dev
Figma	TechFramework	Framework	figma	tech-framework-figma	E7DA	F	dev
Framework7	TechFramework	Framework	framework7	tech-framework-framework7	E7E1	F	dev
Gimp	TechFramework	Framework	gimp	tech-framework-gimp	E7E7	F	dev
Illustrator	TechFramework	Framework	illustrator	tech-framework-illustrator	E7B4	F	dev
Inkscape	TechFramework	Framework	inkscape	tech-framework-inkscape	E801	F	dev
Jamstack	TechFramework	Framework	jamstack	tech-framework-jamstack	E804	F	dev
Jeet	TechFramework	Framework	jeet	tech-framework-jeet	E806	F	dev
Jetpackcompose	TechFramework	Framework	jetpackcompose	tech-framework-jetpackcompose	E809	F	dev
Krakenjs	TechFramework	Framework	krakenjs	tech-framework-krakenjs	E784	F	dev
Lodash	TechFramework	Framework	lodash	tech-framework-lodash	E824	F	dev
Meteor	TechFramework	Framework	meteor	tech-framework-meteor	E7A5	F	dev
Meteorfull	TechFramework	Framework	meteorfull	tech-framework-meteorfull	E7A6	F	dev
MootoolsBadge	TechFramework	Framework	mootools_badge	tech-framework-mootools-badge	E78F	F	dev
Photoshop	TechFramework	Framework	photoshop	tech-framework-photoshop	E7B8	F	dev
Premierepro	TechFramework	Framework	premierepro	tech-framework-premierepro	E86D	F	dev
Quasar	TechFramework	Framework	quasar	tech-framework-quasar	E87F	F	dev
Rect	TechFramework	Framework	rect	tech-framework-rect	E88B	F	dev
Requirejs	TechFramework	Framework	requirejs	tech-framework-requirejs	E770	F	dev
Sketch	TechFramework	Framework	sketch	tech-framework-sketch	E8A3	F	dev
Storybook	TechFramework	Framework	storybook	tech-framework-storybook	E8B3	F	dev
Streamlit	TechFramework	Framework	streamlit	tech-framework-streamlit	E8B4	F	dev
Webflow	TechFramework	Framework	webflow	tech-framework-webflow	E8E1	F	dev
Xd	TechFramework	Framework	xd	tech-framework-xd	E8E9	F	dev
Gazebo	TechFramework	Game	gazebo	tech-framework-gazebo	E7E4	F	dev
Godot	TechFramework	Game	godot	tech-framework-godot	E7EE	F	dev
Photonengine	TechFramework	Game	photonengine	tech-framework-photonengine	E861	F	dev
Ros	TechFramework	Game	ros	tech-framework-ros	E893	F	dev
Titaniumsdk	TechFramework	Game	titaniumsdk	tech-framework-titaniumsdk	E8C2	F	dev
Unity	TechFramework	Game	unity	tech-framework-unity	E721	F	dev
Unrealengine	TechFramework	Game	unrealengine	tech-framework-unrealengine	E8CD	F	dev
Blender	TechFramework	Graphics	blender	tech-framework-blender	E766	F	dev
D3js	TechFramework	Graphics	d3js	tech-framework-d3js	E7BC	F	dev
Maya	TechFramework	Graphics	maya	tech-framework-maya	E82D	F	dev
Openal	TechFramework	Graphics	openal	tech-framework-openal	E851	F	dev
Opencl	TechFramework	Graphics	opencl	tech-framework-opencl	E853	F	dev
Opencv	TechFramework	Graphics	opencv	tech-framework-opencv	E854	F	dev
Opengl	TechFramework	Graphics	opengl	tech-framework-opengl	E855	F	dev
P5js	TechFramework	Graphics	p5js	tech-framework-p5js	E85B	F	dev
Processing	TechFramework	Graphics	processing	tech-framework-processing	E86F	F	dev
Qt	TechFramework	Graphics	qt	tech-framework-qt	E87D	F	dev
Renpy	TechFramework	Graphics	renpy	tech-framework-renpy	E88D	F	dev
Sdl	TechFramework	Graphics	sdl	tech-framework-sdl	E89C	F	dev
Threedsmax	TechFramework	Graphics	threedsmax	tech-framework-threedsmax	E8C0	F	dev
Threejs	TechFramework	Graphics	threejs	tech-framework-threejs	E8C1	F	dev
Axios	TechFramework	Library	axios	tech-framework-axios	E74F	F	dev
Grpc	TechFramework	Library	grpc	tech-framework-grpc	E7F5	F	dev
Handlebars	TechFramework	Library	handlebars	tech-framework-handlebars	E7F7	F	dev
Openapi	TechFramework	Library	openapi	tech-framework-openapi	E852	F	dev
Postcss	TechFramework	Library	postcss	tech-framework-postcss	E86A	F	dev
Socketio	TechFramework	Library	socketio	tech-framework-socketio	E8A5	F	dev
Swagger	TechFramework	Library	swagger	tech-framework-swagger	E8B8	F	dev
Trpc	TechFramework	Library	trpc	tech-framework-trpc	E8C8	F	dev
Jupyter	TechFramework	ML	jupyter	tech-framework-jupyter	E80F	F	dev
Keras	TechFramework	ML	keras	tech-framework-keras	E817	F	dev
Matplotlib	TechFramework	ML	matplotlib	tech-framework-matplotlib	E82B	F	dev
Networkx	TechFramework	ML	networkx	tech-framework-networkx	E83D	F	dev
Numpy	TechFramework	ML	numpy	tech-framework-numpy	E84A	F	dev
Pandas	TechFramework	ML	pandas	tech-framework-pandas	E85D	F	dev
Plotly	TechFramework	ML	plotly	tech-framework-plotly	E864	F	dev
Pytorch	TechFramework	ML	pytorch	tech-framework-pytorch	E87B	F	dev
Scikitlearn	TechFramework	ML	scikitlearn	tech-framework-scikitlearn	E89B	F	dev
Tensorflow	TechFramework	ML	tensorflow	tech-framework-tensorflow	E8BC	F	dev
Capacitor	TechFramework	Mobile	capacitor	tech-framework-capacitor	E785	F	dev
Flutter	TechFramework	Mobile	flutter	tech-framework-flutter	E7DD	F	dev
Ionic	TechFramework	Mobile	ionic	tech-framework-ionic	E7A9	F	dev
Xamarin	TechFramework	Mobile	xamarin	tech-framework-xamarin	E8E7	F	dev
Adonisjs	TechFramework	WebBackend	adonisjs	tech-framework-adonisjs	E701	F	dev
Akka	TechFramework	WebBackend	akka	tech-framework-akka	E708	F	dev
Cakephp	TechFramework	WebBackend	cakephp	tech-framework-cakephp	E77A	F	dev
Codeigniter	TechFramework	WebBackend	codeigniter	tech-framework-codeigniter	E780	F	dev
Django	TechFramework	WebBackend	django	tech-framework-django	E71D	F	dev
Djangorest	TechFramework	WebBackend	djangorest	tech-framework-djangorest	E7C3	F	dev
Dotnet	TechFramework	WebBackend	dotnet	tech-framework-dotnet	E77F	F	dev
Dotnetcore	TechFramework	WebBackend	dotnetcore	tech-framework-dotnetcore	E7C6	F	dev
Dropwizard	TechFramework	WebBackend	dropwizard	tech-framework-dropwizard	E7C7	F	dev
Express	TechFramework	WebBackend	express	tech-framework-express	E7D3	F	dev
Fastapi	TechFramework	WebBackend	fastapi	tech-framework-fastapi	E7D5	F	dev
Fastify	TechFramework	WebBackend	fastify	tech-framework-fastify	E7D6	F	dev
Feathersjs	TechFramework	WebBackend	feathersjs	tech-framework-feathersjs	E7D8	F	dev
Flask	TechFramework	WebBackend	flask	tech-framework-flask	E7DC	F	dev
Grails	TechFramework	WebBackend	grails	tech-framework-grails	E7B3	F	dev
Ktor	TechFramework	WebBackend	ktor	tech-framework-ktor	E81C	F	dev
Laravel	TechFramework	WebBackend	laravel	tech-framework-laravel	E73F	F	dev
Livewire	TechFramework	WebBackend	livewire	tech-framework-livewire	E822	F	dev
Lumen	TechFramework	WebBackend	lumen	tech-framework-lumen	E827	F	dev
