name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Apl	TechLanguage	Language	apl	tech-language-apl	E730	L	dev
Arduino	TechLanguage	Language	arduino	tech-language-arduino	E733	L	dev
Awk	TechLanguage	Language	awk	tech-language-awk	E741	L	dev
Ballerina	TechLanguage	Language	ballerina	tech-language-ballerina	E75E	L	dev
Bash	TechLanguage	Language	bash	tech-language-bash	E760	L	dev
Bun	TechLanguage	Language	bun	tech-language-bun	E76F	L	dev
CLang	TechLanguage	Language	c_lang	tech-language-c-lang	E771	L	dev
Cairo	TechLanguage	Language	cairo	tech-language-cairo	E773	L	dev
Ceylon	TechLanguage	Language	ceylon	tech-language-ceylon	E78B	L	dev
Clojure	TechLanguage	Language	clojure	tech-language-clojure	E768	L	dev
ClojureAlt	TechLanguage	Language	clojure_alt	tech-language-clojure-alt	E76A	L	dev
Clojurescript	TechLanguage	Language	clojurescript	tech-language-clojurescript	E790	L	dev
Coffeescript	TechLanguage	Language	coffeescript	tech-language-coffeescript	E751	L	dev
Corejs	TechLanguage	Language	corejs	tech-language-corejs	E79D	L	dev
Cplusplus	TechLanguage	Language	cplusplus	tech-language-cplusplus	E7A3	L	dev
Crystal	TechLanguage	Language	crystal	tech-language-crystal	E7AC	L	dev
Csharp	TechLanguage	Language	csharp	tech-language-csharp	E7B2	L	dev
Dart	TechLanguage	Language	dart	tech-language-dart	E798	L	dev
Denojs	TechLanguage	Language	denojs	tech-language-denojs	E7C0	L	dev
Dlang	TechLanguage	Language	dlang	tech-language-dlang	E7AF	L	dev
Elixir	TechLanguage	Language	elixir	tech-language-elixir	E7CD	L	dev
Elm	TechLanguage	Language	elm	tech-language-elm	E7CE	L	dev
Embeddedc	TechLanguage	Language	embeddedc	tech-language-embeddedc	E7D0	L	dev
Erlang	TechLanguage	Language	erlang	tech-language-erlang	E7B1	L	dev
Fortran	TechLanguage	Language	fortran	tech-language-fortran	E7DE	L	dev
Fsharp	TechLanguage	Language	fsharp	tech-language-fsharp	E7A7	L	dev
Go	TechLanguage	Language	go	tech-language-go	E724	L	dev
Groovy	TechLanguage	Language	groovy	tech-language-groovy	E775	L	dev
Haskell	TechLanguage	Language	haskell	tech-language-haskell	E777	L	dev
Haxe	TechLanguage	Language	haxe	tech-language-haxe	E7FA	L	dev
Java	TechLanguage	Language	java	tech-language-java	E738	L	dev
Javascript	TechLanguage	Language	javascript	tech-language-javascript	E781	L	dev
JavascriptAlt	TechLanguage	Language	javascript_alt	tech-language-javascript-alt	E74E	L	dev
Jule	TechLanguage	Language	jule	tech-language-jule	E80C	L	dev
Julia	TechLanguage	Language	julia	tech-language-julia	E80D	L	dev
Kotlin	TechLanguage	Language	kotlin	tech-language-kotlin	E81B	L	dev
Less	TechLanguage	Language	less	tech-language-less	E758	L	dev
Lua	TechLanguage	Language	lua	tech-language-lua	E826	L	dev
Matlab	TechLanguage	Language	matlab	tech-language-matlab	E82A	L	dev
Minitab	TechLanguage	Language	minitab	tech-language-minitab	E82F	L	dev
Nim	TechLanguage	Language	nim	tech-language-nim	E841	L	dev
Nimble	TechLanguage	Language	nimble	tech-language-nimble	E842	L	dev
Nodejs	TechLanguage	Language	nodejs	tech-language-nodejs	E719	L	dev
NodejsSmall	TechLanguage	Language	nodejs_small	tech-language-nodejs-small	E718	L	dev
Nodemon	TechLanguage	Language	nodemon	tech-language-nodemon	E844	L	dev
Nodewebkit	TechLanguage	Language	nodewebkit	tech-language-nodewebkit	E845	L	dev
Norg	TechLanguage	Language	norg	tech-language-norg	E847	L	dev
Objectivec	TechLanguage	Language	objectivec	tech-language-objectivec	E84D	L	dev
Ocaml	TechLanguage	Language	ocaml	tech-language-ocaml	E84E	L	dev
Perl	TechLanguage	Language	perl	tech-language-perl	E769	L	dev
Php	TechLanguage	Language	php	tech-language-php	E73D	L	dev
Powershell	TechLanguage	Language	powershell	tech-language-powershell	E86C	L	dev
Prolog	TechLanguage	Language	prolog	tech-language-prolog	E7A1	L	dev
Purescript	TechLanguage	Language	purescript	tech-language-purescript	E875	L	dev
Python	TechLanguage	Language	python	tech-language-python	E73C	L	dev
R	TechLanguage	Language	r	tech-language-r	E881	L	dev
Ruby	TechLanguage	Language	ruby	tech-language-ruby	E739	L	dev
RubyRough	TechLanguage	Language	ruby_rough	tech-language-ruby-rough	E791	L	dev
Rust	TechLanguage	Language	rust	tech-language-rust	E7A8	L	dev
Sass	TechLanguage	Language	sass	tech-language-sass	E74B	L	dev
Scala	TechLanguage	Language	scala	tech-language-scala	E737	L	dev
Solidity	TechLanguage	Language	solidity	tech-language-solidity	E8A6	L	dev
Spss	TechLanguage	Language	spss	tech-language-spss	E8AD	L	dev
Stata	TechLanguage	Language	stata	tech-language-stata	E8B2	L	dev
Stylus	TechLanguage	Language	stylus	tech-language-stylus	E759	L	dev
Swift	TechLanguage	Language	swift	tech-language-swift	E755	L	dev
Typescript	TechLanguage	Language	typescript	tech-language-typescript	E8CA	L	dev
V8	TechLanguage	Language	v8	tech-language-v8	E8CF	L	dev
Vala	TechLanguage	Language	vala	tech-language-vala	E8D1	L	dev
Visualbasic	TechLanguage	Language	visualbasic	tech-language-visualbasic	E8D5	L	dev
Vyper	TechLanguage	Language	vyper	tech-language-vyper	E8DF	L	dev
Wasm	TechLanguage	Language	wasm	tech-language-wasm	E8E0	L	dev
Zig	TechLanguage	Language	zig	tech-language-zig	E8EF	L	dev
