name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Apple	TechSaas	Brand	apple	tech-saas-apple	F302	A	logos
Docker	TechSaas	Cloud	docker	tech-saas-docker	F308	C	logos
Flathub	TechSaas	Cloud	flathub	tech-saas-flathub	F324	C	logos
Snappy	TechSaas	Cloud	snappy	tech-saas-snappy	F32C	C	logos
Thunderbird	TechSaas	Communication	thunderbird	tech-saas-thunderbird	F370	M	logos
Tor	TechSaas	Communication	tor	tech-saas-tor	F371	M	logos
Arduino	TechSaas	Development	arduino	tech-saas-arduino	F34B	*	logos
Kicad	TechSaas	Development	kicad	tech-saas-kicad	F34C	*	logos
Neovim	TechSaas	Development	neovim	tech-saas-neovim	F36F	*	logos
Octoprint	TechSaas	Development	octoprint	tech-saas-octoprint	F34D	*	logos
Openscad	TechSaas	Development	openscad	tech-saas-openscad	F34E	*	logos
Osh	TechSaas	Development	osh	tech-saas-osh	F34F	*	logos
Oshwa	TechSaas	Development	oshwa	tech-saas-oshwa	F350	*	logos
Prusaslicer	TechSaas	Development	prusaslicer	tech-saas-prusaslicer	F351	*	logos
Reprap	TechSaas	Development	reprap	tech-saas-reprap	F352	*	logos
Riscv	TechSaas	Development	riscv	tech-saas-riscv	F353	*	logos
Typst	TechSaas	Development	typst	tech-saas-typst	F37F	*	logos
Vscodium	TechSaas	Development	vscodium	tech-saas-vscodium	F372	*	logos
Mpv	TechSaas	Media	mpv	tech-saas-mpv	F36E	*	logos
Libreoffice	TechSaas	Office	libreoffice	tech-saas-libreoffice	F376	O	logos
Libreofficebase	TechSaas	Office	libreofficebase	tech-saas-libreofficebase	F377	O	logos
Libreofficecalc	TechSaas	Office	libreofficecalc	tech-saas-libreofficecalc	F378	O	logos
Libreofficedraw	TechSaas	Office	libreofficedraw	tech-saas-libreofficedraw	F379	O	logos
Libreofficeimpress	TechSaas	Office	libreofficeimpress	tech-saas-libreofficeimpress	F37A	O	logos
Libreofficemath	TechSaas	Office	libreofficemath	tech-saas-libreofficemath	F37B	O	logos
Libreofficewriter	TechSaas	Office	libreofficewriter	tech-saas-libreofficewriter	F37C	O	logos
