name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Algolia	TechTool	API	algolia	tech-tool-algolia	E70A	T	dev
Browserstack	TechTool	API	browserstack	tech-tool-browserstack	E76B	T	dev
Codeac	TechTool	API	codeac	tech-tool-codeac	E796	T	dev
Insomnia	TechTool	API	insomnia	tech-tool-insomnia	E802	T	dev
Postman	TechTool	API	postman	tech-tool-postman	E86B	T	dev
Chrome	TechTool	Browser	chrome	tech-tool-chrome	E743	T	dev
Firefox	TechTool	Browser	firefox	tech-tool-firefox	E745	T	dev
Ie	TechTool	Browser	ie	tech-tool-ie	E744	T	dev
Mozilla	TechTool	Browser	mozilla	tech-tool-mozilla	E786	T	dev
Opera	TechTool	Browser	opera	tech-tool-opera	E746	T	dev
Safari	TechTool	Browser	safari	tech-tool-safari	E748	T	dev
Babel	TechTool	Build	babel	tech-tool-babel	E75D	T	dev
Cmake	TechTool	Build	cmake	tech-tool-cmake	E794	T	dev
Eslint	TechTool	Build	eslint	tech-tool-eslint	E7D2	T	dev
Gcc	TechTool	Build	gcc	tech-tool-gcc	E7E5	T	dev
Gradle	TechTool	Build	gradle	tech-tool-gradle	E7F2	T	dev
Grunt	TechTool	Build	grunt	tech-tool-grunt	E74C	T	dev
Gulp	TechTool	Build	gulp	tech-tool-gulp	E763	T	dev
Hardhat	TechTool	Build	hardhat	tech-tool-hardhat	E7F8	T	dev
Llvm	TechTool	Build	llvm	tech-tool-llvm	E823	T	dev
Maven	TechTool	Build	maven	tech-tool-maven	E82C	T	dev
Rollup	TechTool	Build	rollup	tech-tool-rollup	E892	T	dev
Spack	TechTool	Build	spack	tech-tool-spack	E8AA	T	dev
Vite	TechTool	Build	vite	tech-tool-vite	E8D6	T	dev
Vitejs	TechTool	Build	vitejs	tech-tool-vitejs	E8D7	T	dev
Webpack	TechTool	Build	webpack	tech-tool-webpack	E8E3	T	dev
Bamboo	TechTool	CI	bamboo	tech-tool-bamboo	E75F	T	dev
Circleci	TechTool	CI	circleci	tech-tool-circleci	E78C	T	dev
Codecov	TechTool	CI	codecov	tech-tool-codecov	E797	T	dev
Jenkins	TechTool	CI	jenkins	tech-tool-jenkins	E767	T	dev
Sonarqube	TechTool	CI	sonarqube	tech-tool-sonarqube	E8A8	T	dev
Travis	TechTool	CI	travis	tech-tool-travis	E77E	T	dev
Confluence	TechTool	Collaboration	confluence	tech-tool-confluence	E799	T	dev
Discordjs	TechTool	Collaboration	discordjs	tech-tool-discordjs	E7C2	T	dev
Jira	TechTool	Collaboration	jira	tech-tool-jira	E75C	T	dev
Jiraalign	TechTool	Collaboration	jiraalign	tech-tool-jiraalign	E80A	T	dev
Notion	TechTool	Collaboration	notion	tech-tool-notion	E848	T	dev
Slack	TechTool	Collaboration	slack	tech-tool-slack	E8A4	T	dev
Trello	TechTool	Collaboration	trello	tech-tool-trello	E75A	T	dev
Dropbox	TechTool	Infrastructure	dropbox	tech-tool-dropbox	E707	T	dev
Filezilla	TechTool	Infrastructure	filezilla	tech-tool-filezilla	E7DB	T	dev
Pfsense	TechTool	Infrastructure	pfsense	tech-tool-pfsense	E85E	T	dev
Anaconda	TechTool	Misc	anaconda	tech-tool-anaconda	E715	T	dev
Appcelerator	TechTool	Misc	appcelerator	tech-tool-appcelerator	E7AB	T	dev
Beats	TechTool	Misc	beats	tech-tool-beats	E761	T	dev
Canva	TechTool	Misc	canva	tech-tool-canva	E77C	T	dev
Carbon	TechTool	Misc	carbon	tech-tool-carbon	E788	T	dev
Clarity	TechTool	Misc	clarity	tech-tool-clarity	E78D	T	dev
Ifttt	TechTool	Misc	ifttt	tech-tool-ifttt	E7FF	T	dev
K6	TechTool	Misc	k6	tech-tool-k6	E812	T	dev
Kaggle	TechTool	Misc	kaggle	tech-tool-kaggle	E813	T	dev
Kdeneon	TechTool	Misc	kdeneon	tech-tool-kdeneon	E816	T	dev
Polygon	TechTool	Misc	polygon	tech-tool-polygon	E868	T	dev
Readthedocs	TechTool	Misc	readthedocs	tech-tool-readthedocs	E889	T	dev
Sema	TechTool	Misc	sema	tech-tool-sema	E89E	T	dev
Shotgrid	TechTool	Misc	shotgrid	tech-tool-shotgrid	E8A2	T	dev
SmashingMagazine	TechTool	Misc	smashing_magazine	tech-tool-smashing-magazine	E72D	T	dev
Thealgorithms	TechTool	Misc	thealgorithms	tech-tool-thealgorithms	E8BF	T	dev
Unifiedmodelinglanguage	TechTool	Misc	unifiedmodelinglanguage	tech-tool-unifiedmodelinglanguage	E8CB	T	dev
Weblate	TechTool	Misc	weblate	tech-tool-weblate	E8E2	T	dev
Yunohost	TechTool	Misc	yunohost	tech-tool-yunohost	E8EE	T	dev
Zend	TechTool	Misc	zend	tech-tool-zend	E778	T	dev
Sentry	TechTool	Monitor	sentry	tech-tool-sentry	E89F	T	dev
Bower	TechTool	PackageManager	bower	tech-tool-bower	E74D	T	dev
Composer	TechTool	PackageManager	composer	tech-tool-composer	E783	T	dev
Homebrew	TechTool	PackageManager	homebrew	tech-tool-homebrew	E7FD	T	dev
Npm	TechTool	PackageManager	npm	tech-tool-npm	E71E	T	dev
Nuget	TechTool	PackageManager	nuget	tech-tool-nuget	E849	T	dev
Pnpm	TechTool	PackageManager	pnpm	tech-tool-pnpm	E865	T	dev
Poetry	TechTool	PackageManager	poetry	tech-tool-poetry	E867	T	dev
Pypi	TechTool	PackageManager	pypi	tech-tool-pypi	E878	T	dev
Pyscript	TechTool	PackageManager	pyscript	tech-tool-pyscript	E879	T	dev
Yarn	TechTool	PackageManager	yarn	tech-tool-yarn	E8EC	T	dev
Cucumber	TechTool	Test	cucumber	tech-tool-cucumber	E7B7	T	dev
Cypressio	TechTool	Test	cypressio	tech-tool-cypressio	E7B9	T	dev
Gatling	TechTool	Test	gatling	tech-tool-gatling	E7E2	T	dev
Jasmine	TechTool	Test	jasmine	tech-tool-jasmine	E805	T	dev
Jest	TechTool	Test	jest	tech-tool-jest	E807	T	dev
Junit	TechTool	Test	junit	tech-tool-junit	E80E	T	dev
Karatelabs	TechTool	Test	karatelabs	tech-tool-karatelabs	E814	T	dev
Karma	TechTool	Test	karma	tech-tool-karma	E815	T	dev
Mocha	TechTool	Test	mocha	tech-tool-mocha	E832	T	dev
Playwright	TechTool	Test	playwright	tech-tool-playwright	E863	T	dev
Protractor	TechTool	Test	protractor	tech-tool-protractor	E871	T	dev
Puppeteer	TechTool	Test	puppeteer	tech-tool-puppeteer	E874	T	dev
Pytest	TechTool	Test	pytest	tech-tool-pytest	E87A	T	dev
Rspec	TechTool	Test	rspec	tech-tool-rspec	E894	T	dev
Selenium	TechTool	Test	selenium	tech-tool-selenium	E89D	T	dev
Vitest	TechTool	Test	vitest	tech-tool-vitest	E8D9	T	dev
