name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Sourcetree	TechVcs	Client	sourcetree	tech-vcs-sourcetree	E8A9	V	dev
Subversion	TechVcs	Client	subversion	tech-vcs-subversion	E8B5	V	dev
Tortoisegit	TechVcs	Client	tortoisegit	tech-vcs-tortoisegit	E8C4	V	dev
Towergit	TechVcs	Client	towergit	tech-vcs-towergit	E8C5	V	dev
Git	TechVcs	Git	git	tech-vcs-git	E702	V	dev
GitBranch	TechVcs	Git	git_branch	tech-vcs-git-branch	E725	V	dev
GitCommit	TechVcs	Git	git_commit	tech-vcs-git-commit	E729	V	dev
GitCompare	TechVcs	Git	git_compare	tech-vcs-git-compare	E728	V	dev
GitMerge	TechVcs	Git	git_merge	tech-vcs-git-merge	E727	V	dev
GitPullRequest	TechVcs	Git	git_pull_request	tech-vcs-git-pull-request	E726	V	dev
Bitbucket	TechVcs	Hosting	bitbucket	tech-vcs-bitbucket	E703	V	dev
Gitbook	TechVcs	Hosting	gitbook	tech-vcs-gitbook	E7E8	V	dev
Github	TechVcs	Hosting	github	tech-vcs-github	E709	V	dev
GithubFull	TechVcs	Hosting	github_full	tech-vcs-github-full	E717	V	dev
Githubactions	TechVcs	Hosting	githubactions	tech-vcs-githubactions	E7E9	V	dev
Githubcodespaces	TechVcs	Hosting	githubcodespaces	tech-vcs-githubcodespaces	E7EA	V	dev
Gitlab	TechVcs	Hosting	gitlab	tech-vcs-gitlab	E7EB	V	dev
Gitpod	TechVcs	Hosting	gitpod	tech-vcs-gitpod	E7EC	V	dev
Gitter	TechVcs	Hosting	gitter	tech-vcs-gitter	E7ED	V	dev
