name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Medal	Tool	Award	medal	fa-tool-medal	EE6B	*	fa
Ribbon	Tool	Award	ribbon	fa-tool-ribbon	EDA5	*	fa
Trophy	Tool	Award	trophy	fa-tool-trophy	F091	*	fa
Code	Tool	Code	code	fa-tool-code	F121	*	fa
CodeBranch	Tool	Code	code_branch	fa-tool-code-branch	F126	*	fa
CodeCommit	Tool	Code	code_commit	fa-tool-code-commit	F172	*	fa
CodeMerge	Tool	Code	code_merge	fa-tool-code-merge	F17F	*	fa
Terminal	Tool	Code	terminal	fa-tool-terminal	F120	*	fa
Blender	Tool	Hardware	blender	fa-tool-blender	EDE1	*	fa
BlenderPhone	Tool	Hardware	blender_phone	fa-tool-blender-phone	EEEA	*	fa
Gear	Tool	Hardware	gear	fa-tool-gear	F013	*	fa
Hammer	Tool	Hardware	hammer	fa-tool-hammer	EEFF	*	fa
Magnet	Tool	Hardware	magnet	fa-tool-magnet	F076	*	fa
Ruler	Tool	Hardware	ruler	fa-tool-ruler	EE0E	*	fa
RulerCombined	Tool	Hardware	ruler_combined	fa-tool-ruler-combined	EE0F	*	fa
RulerHorizontal	Tool	Hardware	ruler_horizontal	fa-tool-ruler-horizontal	EE10	*	fa
RulerVertical	Tool	Hardware	ruler_vertical	fa-tool-ruler-vertical	EE11	*	fa
Screwdriver	Tool	Hardware	screwdriver	fa-tool-screwdriver	EE13	*	fa
ScrewdriverWrench	Tool	Hardware	screwdriver_wrench	fa-tool-screwdriver-wrench	EF70	*	fa
Tape	Tool	Hardware	tape	fa-tool-tape	EDAA	*	fa
Toolbox	Tool	Hardware	toolbox	fa-tool-toolbox	EE1B	*	fa
Wrench	Tool	Hardware	wrench	fa-tool-wrench	F0AD	*	fa
Bomb	Tool	Hazard	bomb	fa-tool-bomb	F1E2	*	fa
Ghost	Tool	Hazard	ghost	fa-tool-ghost	EEFE	*	fa
Skull	Tool	Hazard	skull	fa-tool-skull	EE15	*	fa
SkullCrossbones	Tool	Hazard	skull_crossbones	fa-tool-skull-crossbones	EF0E	*	fa
CakeCandles	Tool	Household	cake_candles	fa-tool-cake-candles	F1FD	*	fa
Couch	Tool	Household	couch	fa-tool-couch	ED97	*	fa
Gift	Tool	Household	gift	fa-tool-gift	F06B	*	fa
Smoking	Tool	Household	smoking	fa-tool-smoking	ED8C	*	fa
WineBottle	Tool	Household	wine_bottle	fa-tool-wine-bottle	EF17	*	fa
WineGlass	Tool	Household	wine_glass	fa-tool-wine-glass	EDAE	*	fa
WineGlassEmpty	Tool	Household	wine_glass_empty	fa-tool-wine-glass-empty	EE95	*	fa
Barcode	Tool	Misc	barcode	fa-tool-barcode	F02A	*	fa
Bolt	Tool	Misc	bolt	fa-tool-bolt	F0E7	*	fa
Bookmark	Tool	Misc	bookmark	fa-tool-bookmark	F02E	*	fa
BookmarkO	Tool	Misc	bookmark_o	fa-tool-bookmark-o	F097	*	fa
Box	Tool	Misc	box	fa-tool-box	ED75	*	fa
BoxArchive	Tool	Misc	box_archive	fa-tool-box-archive	F187	*	fa
BoxOpen	Tool	Misc	box_open	fa-tool-box-open	ED95	*	fa
Broom	Tool	Misc	broom	fa-tool-broom	EDE4	*	fa
Dolly	Tool	Misc	dolly	fa-tool-dolly	ED7E	*	fa
FireExtinguisher	Tool	Misc	fire_extinguisher	fa-tool-fire-extinguisher	F134	*	fa
Flag	Tool	Misc	flag	fa-tool-flag	F024	*	fa
FlagCheckered	Tool	Misc	flag_checkered	fa-tool-flag-checkered	F11E	*	fa
FlagO	Tool	Misc	flag_o	fa-tool-flag-o	F11D	*	fa
FlagUsa	Tool	Misc	flag_usa	fa-tool-flag-usa	EF20	*	fa
ParachuteBox	Tool	Misc	parachute_box	fa-tool-parachute-box	EDA1	*	fa
Qrcode	Tool	Misc	qrcode	fa-tool-qrcode	F029	*	fa
ScaleBalanced	Tool	Misc	scale_balanced	fa-tool-scale-balanced	F24E	*	fa
ScaleUnbalanced	Tool	Misc	scale_unbalanced	fa-tool-scale-unbalanced	EDDF	*	fa
ScaleUnbalancedFlip	Tool	Misc	scale_unbalanced_flip	fa-tool-scale-unbalanced-flip	EDE0	*	fa
SignHanging	Tool	Misc	sign_hanging	fa-tool-sign-hanging	EDA8	*	fa
Tag	Tool	Misc	tag	fa-tool-tag	F02B	*	fa
Tags	Tool	Misc	tags	fa-tool-tags	F02C	*	fa
WeightHanging	Tool	Misc	weight_hanging	fa-tool-weight-hanging	EE94	*	fa
WeightScale	Tool	Misc	weight_scale	fa-tool-weight-scale	ED93	*	fa
Key	Tool	Security	key	fa-tool-key	F084	*	fa
Lock	Tool	Security	lock	fa-tool-lock	F023	*	fa
LockOpen	Tool	Security	lock_open	fa-tool-lock-open	F2FC	*	fa
Shield	Tool	Security	shield	fa-tool-shield	F132	*	fa
ShieldHalved	Tool	Security	shield_halved	fa-tool-shield-halved	ED25	*	fa
Unlock	Tool	Security	unlock	fa-tool-unlock	F09C	*	fa
UnlockKeyhole	Tool	Security	unlock_keyhole	fa-tool-unlock-keyhole	F13E	*	fa
