name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Helicopter	Transport	Air	helicopter	fa-transport-helicopter	EDFD	T	fa
JetFighter	Transport	Air	jet_fighter	fa-transport-jet-fighter	F0FB	T	fa
Plane	Transport	Air	plane	fa-transport-plane	F072	T	fa
PlaneArrival	Transport	Air	plane_arrival	fa-transport-plane-arrival	EE77	T	fa
PlaneDeparture	Transport	Air	plane_departure	fa-transport-plane-departure	EE78	T	fa
Rocket	Transport	Air	rocket	fa-transport-rocket	F135	T	fa
Caravan	Transport	Misc	caravan	fa-transport-caravan	EFC1	T	fa
GasPump	Transport	Misc	gas_pump	fa-transport-gas-pump	EDF9	T	fa
ShuttleSpace	Transport	Misc	shuttle_space	fa-transport-shuttle-space	F197	T	fa
Sleigh	Transport	Misc	sleigh	fa-transport-sleigh	EF67	T	fa
Train	Transport	Rail	train	fa-transport-train	F238	T	fa
TrainSubway	Transport	Rail	train_subway	fa-transport-train-subway	F239	T	fa
Bicycle	Transport	Road	bicycle	fa-transport-bicycle	F206	T	fa
Bus	Transport	Road	bus	fa-transport-bus	F207	T	fa
BusSimple	Transport	Road	bus_simple	fa-transport-bus-simple	EE27	T	fa
CableCar	Transport	Road	cable_car	fa-transport-cable-car	EF71	T	fa
Car	Transport	Road	car	fa-transport-car	F1B9	T	fa
CarBattery	Transport	Road	car_battery	fa-transport-car-battery	EE9E	T	fa
CarBurst	Transport	Road	car_burst	fa-transport-car-burst	EE9F	T	fa
CarRear	Transport	Road	car_rear	fa-transport-car-rear	EE9D	T	fa
CarSide	Transport	Road	car_side	fa-transport-car-side	EEA0	T	fa
Motorcycle	Transport	Road	motorcycle	fa-transport-motorcycle	F21C	T	fa
Road	Transport	Road	road	fa-transport-road	F018	T	fa
Taxi	Transport	Road	taxi	fa-transport-taxi	F1BA	T	fa
Tractor	Transport	Road	tractor	fa-transport-tractor	EF12	T	fa
TrafficLight	Transport	Road	traffic_light	fa-transport-traffic-light	EEB7	T	fa
Truck	Transport	Road	truck	fa-transport-truck	F0D1	T	fa
TruckFast	Transport	Road	truck_fast	fa-transport-truck-fast	ED8B	T	fa
TruckMedical	Transport	Road	truck_medical	fa-transport-truck-medical	F0F9	T	fa
TruckMonster	Transport	Road	truck_monster	fa-transport-truck-monster	EEB8	T	fa
TruckMoving	Transport	Road	truck_moving	fa-transport-truck-moving	EDAC	T	fa
TruckPickup	Transport	Road	truck_pickup	fa-transport-truck-pickup	EEB9	T	fa
TruckRampBox	Transport	Road	truck_ramp_box	fa-transport-truck-ramp-box	EDAB	T	fa
VanShuttle	Transport	Road	van_shuttle	fa-transport-van-shuttle	EE7E	T	fa
Anchor	Transport	Water	anchor	fa-transport-anchor	F13D	T	fa
Ship	Transport	Water	ship	fa-transport-ship	F21A	T	fa
