name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Cloud	Weather	Cloud	cloud	fa-weather-cloud	F0C2	W	fa
CloudArrowDown	Weather	Cloud	cloud_arrow_down	fa-weather-cloud-arrow-down	F0ED	W	fa
CloudArrowUp	Weather	Cloud	cloud_arrow_up	fa-weather-cloud-arrow-up	F0EE	W	fa
CloudBolt	Weather	Cloud	cloud_bolt	fa-weather-cloud-bolt	EF2C	W	fa
CloudMeatball	Weather	Cloud	cloud_meatball	fa-weather-cloud-meatball	EF1A	W	fa
CloudRain	Weather	Cloud	cloud_rain	fa-weather-cloud-rain	EF1C	W	fa
CloudShowersHeavy	Weather	Cloud	cloud_showers_heavy	fa-weather-cloud-showers-heavy	EF1D	W	fa
CloudSun	Weather	Cloud	cloud_sun	fa-weather-cloud-sun	EEF0	W	fa
CloudSunRain	Weather	Cloud	cloud_sun_rain	fa-weather-cloud-sun-rain	EF1E	W	fa
CloudMoon	Weather	Moon	cloud_moon	fa-weather-cloud-moon	EEEF	W	fa
CloudMoonRain	Weather	Moon	cloud_moon_rain	fa-weather-cloud-moon-rain	EF1B	W	fa
Moon	Weather	Moon	moon	fa-weather-moon	F186	W	fa
Umbrella	Weather	Other	umbrella	fa-weather-umbrella	F0E9	W	fa
Rainbow	Weather	Precipitation	rainbow	fa-weather-rainbow	EF26	W	fa
Snowflake	Weather	Precipitation	snowflake	fa-weather-snowflake	F2DC	W	fa
Snowman	Weather	Precipitation	snowman	fa-weather-snowman	EF6A	W	fa
DumpsterFire	Weather	Storm	dumpster_fire	fa-weather-dumpster-fire	EF43	W	fa
Fire	Weather	Storm	fire	fa-weather-fire	F06D	W	fa
FireFlameCurved	Weather	Storm	fire_flame_curved	fa-weather-fire-flame-curved	EF76	W	fa
FireFlameSimple	Weather	Storm	fire_flame_simple	fa-weather-fire-flame-simple	ED78	W	fa
Meteor	Weather	Storm	meteor	fa-weather-meteor	EF23	W	fa
Smog	Weather	Storm	smog	fa-weather-smog	EF29	W	fa
Volcano	Weather	Storm	volcano	fa-weather-volcano	EF2E	W	fa
Sun	Weather	Sun	sun	fa-weather-sun	F185	W	fa
TemperatureEmpty	Weather	Temperature	temperature_empty	fa-weather-temperature-empty	F2CB	W	fa
TemperatureFull	Weather	Temperature	temperature_full	fa-weather-temperature-full	F2C7	W	fa
TemperatureHalf	Weather	Temperature	temperature_half	fa-weather-temperature-half	F2C9	W	fa
TemperatureHigh	Weather	Temperature	temperature_high	fa-weather-temperature-high	EF2A	W	fa
TemperatureLow	Weather	Temperature	temperature_low	fa-weather-temperature-low	EF2B	W	fa
TemperatureQuarter	Weather	Temperature	temperature_quarter	fa-weather-temperature-quarter	F2CA	W	fa
TemperatureThreeQuarters	Weather	Temperature	temperature_three_quarters	fa-weather-temperature-three-quarters	F2C8	W	fa
Tornado	Weather	Wind	tornado	fa-weather-tornado	EF2D	W	fa
Wind	Weather	Wind	wind	fa-weather-wind	EF16	W	fa
