name	domain	category	nerd_suffix	path	codepoint	ascii	source_set
Cloud	Weather	Cloud	cloud	weather-cloud	E33D	c	weather
CloudDown	Weather	Cloud	cloud_down	weather-cloud-down	E33A	c	weather
CloudRefresh	Weather	Cloud	cloud_refresh	weather-cloud-refresh	E33B	c	weather
CloudUp	Weather	Cloud	cloud_up	weather-cloud-up	E33C	c	weather
Cloudy	Weather	Cloud	cloudy	weather-cloudy	E312	c	weather
CloudyGusts	Weather	Cloud	cloudy_gusts	weather-cloudy-gusts	E310	c	weather
CloudyWindy	Weather	Cloud	cloudy_windy	weather-cloudy-windy	E311	~	weather
Fog	Weather	Cloud	fog	weather-fog	E313	c	weather
Hail	Weather	Cloud	hail	weather-hail	E314	*	weather
DayCloudy	Weather	Day	day_cloudy	weather-day-cloudy	E302	o	weather
DayCloudyGusts	Weather	Day	day_cloudy_gusts	weather-day-cloudy-gusts	E300	o	weather
DayCloudyHigh	Weather	Day	day_cloudy_high	weather-day-cloudy-high	E376	o	weather
DayCloudyWindy	Weather	Day	day_cloudy_windy	weather-day-cloudy-windy	E301	o	weather
DayFog	Weather	Day	day_fog	weather-day-fog	E303	o	weather
DayHail	Weather	Day	day_hail	weather-day-hail	E304	o	weather
DayHaze	Weather	Day	day_haze	weather-day-haze	E3AE	o	weather
DayLightWind	Weather	Day	day_light_wind	weather-day-light-wind	E3BC	o	weather
DayLightning	Weather	Day	day_lightning	weather-day-lightning	E305	o	weather
DayRain	Weather	Day	day_rain	weather-day-rain	E308	r	weather
DayRainMix	Weather	Day	day_rain_mix	weather-day-rain-mix	E306	r	weather
DayRainWind	Weather	Day	day_rain_wind	weather-day-rain-wind	E307	r	weather
DayShowers	Weather	Day	day_showers	weather-day-showers	E309	r	weather
DaySleet	Weather	Day	day_sleet	weather-day-sleet	E3AA	*	weather
DaySleetStorm	Weather	Day	day_sleet_storm	weather-day-sleet-storm	E362	*	weather
DaySnow	Weather	Day	day_snow	weather-day-snow	E30A	*	weather
DaySnowThunderstorm	Weather	Day	day_snow_thunderstorm	weather-day-snow-thunderstorm	E365	*	weather
DaySnowWind	Weather	Day	day_snow_wind	weather-day-snow-wind	E35F	*	weather
DaySprinkle	Weather	Day	day_sprinkle	weather-day-sprinkle	E30B	o	weather
DayStormShowers	Weather	Day	day_storm_showers	weather-day-storm-showers	E30E	r	weather
DaySunny	Weather	Day	day_sunny	weather-day-sunny	E30D	o	weather
DaySunnyOvercast	Weather	Day	day_sunny_overcast	weather-day-sunny-overcast	E30C	o	weather
DayThunderstorm	Weather	Day	day_thunderstorm	weather-day-thunderstorm	E30F	o	weather
DayWindy	Weather	Day	day_windy	weather-day-windy	E37D	o	weather
Umbrella	Weather	Equipment	umbrella	weather-umbrella	E37C	u	weather
Train	Weather	Misc	train	weather-train	E3C3	r	weather
NightClear	Weather	Night	night_clear	weather-night-clear	E32B	n	weather
NightCloudy	Weather	Night	night_cloudy	weather-night-cloudy	E32E	n	weather
NightCloudyGusts	Weather	Night	night_cloudy_gusts	weather-night-cloudy-gusts	E32C	n	weather
NightCloudyHigh	Weather	Night	night_cloudy_high	weather-night-cloudy-high	E378	n	weather
NightCloudyWindy	Weather	Night	night_cloudy_windy	weather-night-cloudy-windy	E32D	n	weather
NightFog	Weather	Night	night_fog	weather-night-fog	E346	n	weather
NightHail	Weather	Night	night_hail	weather-night-hail	E32F	n	weather
NightLightning	Weather	Night	night_lightning	weather-night-lightning	E330	n	weather
NightPartlyCloudy	Weather	Night	night_partly_cloudy	weather-night-partly-cloudy	E37B	n	weather
NightRain	Weather	Night	night_rain	weather-night-rain	E333	r	weather
NightRainMix	Weather	Night	night_rain_mix	weather-night-rain-mix	E331	r	weather
NightRainWind	Weather	Night	night_rain_wind	weather-night-rain-wind	E332	r	weather
NightShowers	Weather	Night	night_showers	weather-night-showers	E334	r	weather
NightSleet	Weather	Night	night_sleet	weather-night-sleet	E3AB	*	weather
NightSleetStorm	Weather	Night	night_sleet_storm	weather-night-sleet-storm	E363	*	weather
NightSnow	Weather	Night	night_snow	weather-night-snow	E335	*	weather
NightSnowThunderstorm	Weather	Night	night_snow_thunderstorm	weather-night-snow-thunderstorm	E366	*	weather
NightSnowWind	Weather	Night	night_snow_wind	weather-night-snow-wind	E360	*	weather
