name	category	set	icon	codepoint	ascii
Branch	Powerline	ple	branch	E0A0	Y
LineNumber	Powerline	ple	line_number	E0A1	#
Hostname	Powerline	ple	hostname	E0A2	H
ColumnNumber	Powerline	ple	column_number	E0A3	#
LeftHardDivider	PowerlineExtra	ple	left_hard_divider	E0B0	>
LeftSoftDivider	PowerlineExtra	ple	left_soft_divider	E0B1	>
RightHardDivider	PowerlineExtra	ple	right_hard_divider	E0B2	<
RightSoftDivider	PowerlineExtra	ple	right_soft_divider	E0B3	<
RightHalfCircleThick	PowerlineExtra	ple	right_half_circle_thick	E0B4	)
RightHalfCircleThin	PowerlineExtra	ple	right_half_circle_thin	E0B5	)
LeftHalfCircleThick	PowerlineExtra	ple	left_half_circle_thick	E0B6	(
LeftHalfCircleThin	PowerlineExtra	ple	left_half_circle_thin	E0B7	(
LowerLeftTriangle	PowerlineExtra	ple	lower_left_triangle	E0B8	/
BackslashSeparator	PowerlineExtra	ple	backslash_separator	E0B9	\
LowerRightTriangle	PowerlineExtra	ple	lower_right_triangle	E0BA	\
ForwardslashSeparator	PowerlineExtra	ple	forwardslash_separator	E0BB	/
UpperLeftTriangle	PowerlineExtra	ple	upper_left_triangle	E0BC	/
ForwardslashSeparatorRedundant	PowerlineExtra	ple	forwardslash_separator_redundant	E0BD	/
UpperRightTriangle	PowerlineExtra	ple	upper_right_triangle	E0BE	\
BackslashSeparatorRedundant	PowerlineExtra	ple	backslash_separator_redundant	E0BF	\
FlameThick	PowerlineExtra	ple	flame_thick	E0C0	~
FlameThin	PowerlineExtra	ple	flame_thin	E0C1	~
FlameThickMirrored	PowerlineExtra	ple	flame_thick_mirrored	E0C2	~
FlameThinMirrored	PowerlineExtra	ple	flame_thin_mirrored	E0C3	~
PixelatedSquaresSmall	PowerlineExtra	ple	pixelated_squares_small	E0C4	#
PixelatedSquaresSmallMirrored	PowerlineExtra	ple	pixelated_squares_small_mirrored	E0C5	#
PixelatedSquaresBig	PowerlineExtra	ple	pixelated_squares_big	E0C6	#
PixelatedSquaresBigMirrored	PowerlineExtra	ple	pixelated_squares_big_mirrored	E0C7	#
IceWaveform	PowerlineExtra	ple	ice_waveform	E0C8	~
IceWaveformMirrored	PowerlineExtra	ple	ice_waveform_mirrored	E0CA	~
Honeycomb	PowerlineExtra	ple	honeycomb	E0CC	#
HoneycombOutline	PowerlineExtra	ple	honeycomb_outline	E0CD	#
LegoSeparator	PowerlineExtra	ple	lego_separator	E0CE	-
LegoSeparatorThin	PowerlineExtra	ple	lego_separator_thin	E0CF	-
LegoBlockFacing	PowerlineExtra	ple	lego_block_facing	E0D0	#
LegoBlockSideways	PowerlineExtra	ple	lego_block_sideways	E0D1	#
TrapezoidTopBottom	PowerlineExtra	ple	trapezoid_top_bottom	E0D2	/
TrapezoidTopBottomMirrored	PowerlineExtra	ple	trapezoid_top_bottom_mirrored	E0D4	\
RightHardDividerInverse	PowerlineExtra	ple	right_hard_divider_inverse	E0D6	<
LeftHardDividerInverse	PowerlineExtra	ple	left_hard_divider_inverse	E0D7	>
BoxHorizontal	BoxDrawing	unicode	horizontal	2500	-
BoxVertical	BoxDrawing	unicode	vertical	2502	|
BoxHorizontalHeavy	BoxDrawing	unicode	horizontal_heavy	2501	-
BoxVerticalHeavy	BoxDrawing	unicode	vertical_heavy	2503	|
BoxHorizontalDash	BoxDrawing	unicode	horizontal_dash	2504	-
BoxVerticalDash	BoxDrawing	unicode	vertical_dash	2506	|
BoxHorizontalDashQuad	BoxDrawing	unicode	horizontal_dash_quad	2508	-
BoxVerticalDashQuad	BoxDrawing	unicode	vertical_dash_quad	250A	|
BoxDownRight	BoxDrawing	unicode	down_right	250C	+
BoxDownLeft	BoxDrawing	unicode	down_left	2510	+
BoxUpRight	BoxDrawing	unicode	up_right	2514	+
BoxUpLeft	BoxDrawing	unicode	up_left	2518	+
BoxHorizontalDouble	BoxDrawing	unicode	horizontal_double	2550	=
BoxVerticalDouble	BoxDrawing	unicode	vertical_double	2551	|
BoxDoubleDownRight	BoxDrawing	unicode	double_down_right	2554	+
BoxDoubleDownLeft	BoxDrawing	unicode	double_down_left	2557	+
BoxDoubleUpRight	BoxDrawing	unicode	double_up_right	255A	+
BoxDoubleUpLeft	BoxDrawing	unicode	double_up_left	255D	+
BoxRoundedDownRight	BoxDrawing	unicode	rounded_down_right	256D	+
BoxRoundedDownLeft	BoxDrawing	unicode	rounded_down_left	256E	+
BoxRoundedUpRight	BoxDrawing	unicode	rounded_up_right	256F	+
BoxRoundedUpLeft	BoxDrawing	unicode	rounded_up_left	2570	+
BlockFull	BlockElement	unicode	full	2588	#
BlockUpperHalf	BlockElement	unicode	upper_half	2580	#
BlockLowerHalf	BlockElement	unicode	lower_half	2584	#
BlockLeftHalf	BlockElement	unicode	left_half	258C	#
BlockRightHalf	BlockElement	unicode	right_half	2590	#
BlockLightShade	BlockElement	unicode	light_shade	2591	.
BlockMediumShade	BlockElement	unicode	medium_shade	2592	:
BlockDarkShade	BlockElement	unicode	dark_shade	2593	#
BlockLeftOneEighth	BlockElement	unicode	left_one_eighth	258E	|
BlockRightOneEighth	BlockElement	unicode	right_one_eighth	2595	|
BlockLowerOneEighth	BlockElement	unicode	lower_one_eighth	2581	_
BlockUpperOneEighth	BlockElement	unicode	upper_one_eighth	258F	^
DiffFill	Diff	unicode	fill	2571	/
DiffSign	Diff	unicode	sign	258E	|
