name	set	icon	codepoint	ascii	r	g	b
DiffAdded	cod	diff_added	EADC	+	9E	CE	6A
DiffModified	cod	diff_modified	EADE	~	7D	CF	FF
DiffRemoved	cod	diff_removed	EADF	-	F7	76	8E
DiffRenamed	cod	diff_renamed	EAE0	>	7D	CF	FF
DiffIgnored	cod	diff_ignored	EADD	:	56	5F	89
Diff	cod	diff	EAE1	d	7D	CF	FF
GitCommit	cod	git_commit	EAFC	c	BB	9A	F7
GitCompare	cod	git_compare	EAFD	c	BB	9A	F7
GitMerge	cod	git_merge	EAFE	m	BB	9A	F7
GitPullRequest	cod	git_pull_request	EA64	p	BB	9A	F7
GitPullRequestClosed	cod	git_pull_request_closed	EBDA	p	BB	9A	F7
GitFetch	cod	git_fetch	EC1D	f	BB	9A	F7
Git	dev	git	E702	g	F1	50	2F
GitBranch	dev	git_branch	E725	b	BB	9A	F7
DevGitCommit	dev	git_commit	E729	c	BB	9A	F7
DevGitMerge	dev	git_merge	E727	m	BB	9A	F7
DevGitCompare	dev	git_compare	E728	c	BB	9A	F7
DevGitPullRequest	dev	git_pull_request	E726	p	BB	9A	F7
Github	dev	github	E709	h	C0	CA	F5
Gitlab	dev	gitlab	E7EB	l	E2	43	29
Close	cod	close	EA76	x	56	5F	89
ChromeClose	cod	chrome_close	EAB8	x	56	5F	89
Warning	cod	warning	EA6C	!	E0	AF	68
Info	cod	info	EA74	i	7D	CF	FF
Error	cod	error	EA87	!	F7	76	8E
Check	cod	check	EAB2	+	9E	CE	6A
Bell	cod	bell	EAA2	b	E0	AF	68
Search	cod	search	EA6D	?	7D	CF	FF
Settings	cod	settings	EB52	*	C0	CA	F5
Home	cod	home	EB06	h	C0	CA	F5
Refresh	cod	refresh	EB37	r	7D	CF	FF
Sync	cod	sync	EA77	s	7D	CF	FF
Account	cod	account	EB99	@	C0	CA	F5
Play	cod	play	EB2C	>	9E	CE	6A
StopCircle	cod	stop_circle	EBA5	s	F7	76	8E
File	cod	file	EA7B	f	7D	CF	FF
Files	cod	files	EAF0	f	7D	CF	FF
FileCode	cod	file_code	EAE9	f	7D	CF	FF
SymbolNumeric	cod	symbol_numeric	EA90	#	E0	AF	68
Terminal	cod	terminal	EA85	>	9E	CE	6A
TerminalLinux	cod	terminal_linux	EBC6	>	FF	FF	FF
TerminalBash	cod	terminal_bash	EBCA	$	9E	CE	6A
Linux	dev	linux	E712	L	FF	FF	FF
MacOS	dev	apple	E711	M	C0	CA	F5
Windows	dev	windows	E70F	W	00	A4	EF
Windows11	dev	windows11	E8E5	W	00	A4	EF
Ubuntu	dev	ubuntu	E73A	U	E9	54	20
Fedora	dev	fedora	E7D9	F	29	4E	9D
Archlinux	dev	archlinux	E732	A	17	9C	D3
Debian	dev	debian	E77D	D	D7	0A	53
Docker	dev	docker	E7B0	D	45	8E	E6
Neovim	dev	neovim	E83A	N	57	A1	43
Vim	dev	vim	E7C5	V	01	98	33
Nodejs	dev	nodejs	E719	n	3C	87	3A
Python	dev	python	E73C	y	FF	BC	03
Rust	dev	rust	E7A8	R	DE	A5	84
