name	category	nerd_suffix	path	codepoint	ascii
DayCloudy	Day	day_cloudy	weather-day-cloudy	E302	o
DayCloudyGusts	Day	day_cloudy_gusts	weather-day-cloudy-gusts	E300	o
DayCloudyHigh	Day	day_cloudy_high	weather-day-cloudy-high	E376	o
DayCloudyWindy	Day	day_cloudy_windy	weather-day-cloudy-windy	E301	o
DayFog	Day	day_fog	weather-day-fog	E303	o
DayHail	Day	day_hail	weather-day-hail	E304	o
DayHaze	Day	day_haze	weather-day-haze	E3AE	o
DayLightWind	Day	day_light_wind	weather-day-light-wind	E3BC	o
DayLightning	Day	day_lightning	weather-day-lightning	E305	o
DayRain	Day	day_rain	weather-day-rain	E308	r
DayRainMix	Day	day_rain_mix	weather-day-rain-mix	E306	r
DayRainWind	Day	day_rain_wind	weather-day-rain-wind	E307	r
DayShowers	Day	day_showers	weather-day-showers	E309	r
DaySleet	Day	day_sleet	weather-day-sleet	E3AA	*
DaySleetStorm	Day	day_sleet_storm	weather-day-sleet-storm	E362	*
DaySnow	Day	day_snow	weather-day-snow	E30A	*
DaySnowThunderstorm	Day	day_snow_thunderstorm	weather-day-snow-thunderstorm	E365	*
DaySnowWind	Day	day_snow_wind	weather-day-snow-wind	E35F	*
DaySprinkle	Day	day_sprinkle	weather-day-sprinkle	E30B	o
DayStormShowers	Day	day_storm_showers	weather-day-storm-showers	E30E	r
DaySunny	Day	day_sunny	weather-day-sunny	E30D	o
DaySunnyOvercast	Day	day_sunny_overcast	weather-day-sunny-overcast	E30C	o
DayThunderstorm	Day	day_thunderstorm	weather-day-thunderstorm	E30F	o
DayWindy	Day	day_windy	weather-day-windy	E37D	o
NightAltCloudy	NightAlt	night_alt_cloudy	weather-night-alt-cloudy	E37E	n
NightAltCloudyGusts	NightAlt	night_alt_cloudy_gusts	weather-night-alt-cloudy-gusts	E31F	n
NightAltCloudyHigh	NightAlt	night_alt_cloudy_high	weather-night-alt-cloudy-high	E377	n
NightAltCloudyWindy	NightAlt	night_alt_cloudy_windy	weather-night-alt-cloudy-windy	E320	n
NightAltHail	NightAlt	night_alt_hail	weather-night-alt-hail	E321	n
NightAltLightning	NightAlt	night_alt_lightning	weather-night-alt-lightning	E322	n
NightAltPartlyCloudy	NightAlt	night_alt_partly_cloudy	weather-night-alt-partly-cloudy	E379	n
NightAltRain	NightAlt	night_alt_rain	weather-night-alt-rain	E325	r
NightAltRainMix	NightAlt	night_alt_rain_mix	weather-night-alt-rain-mix	E323	r
NightAltRainWind	NightAlt	night_alt_rain_wind	weather-night-alt-rain-wind	E324	r
NightAltShowers	NightAlt	night_alt_showers	weather-night-alt-showers	E326	r
NightAltSleet	NightAlt	night_alt_sleet	weather-night-alt-sleet	E3AC	*
NightAltSleetStorm	NightAlt	night_alt_sleet_storm	weather-night-alt-sleet-storm	E364	*
NightAltSnow	NightAlt	night_alt_snow	weather-night-alt-snow	E327	*
NightAltSnowThunderstorm	NightAlt	night_alt_snow_thunderstorm	weather-night-alt-snow-thunderstorm	E367	*
NightAltSnowWind	NightAlt	night_alt_snow_wind	weather-night-alt-snow-wind	E361	*
NightAltSprinkle	NightAlt	night_alt_sprinkle	weather-night-alt-sprinkle	E328	n
NightAltStormShowers	NightAlt	night_alt_storm_showers	weather-night-alt-storm-showers	E329	r
NightAltThunderstorm	NightAlt	night_alt_thunderstorm	weather-night-alt-thunderstorm	E32A	n
NightClear	Night	night_clear	weather-night-clear	E32B	n
NightCloudy	Night	night_cloudy	weather-night-cloudy	E32E	n
NightCloudyGusts	Night	night_cloudy_gusts	weather-night-cloudy-gusts	E32C	n
NightCloudyHigh	Night	night_cloudy_high	weather-night-cloudy-high	E378	n
NightCloudyWindy	Night	night_cloudy_windy	weather-night-cloudy-windy	E32D	n
NightFog	Night	night_fog	weather-night-fog	E346	n
NightHail	Night	night_hail	weather-night-hail	E32F	n
NightLightning	Night	night_lightning	weather-night-lightning	E330	n
NightPartlyCloudy	Night	night_partly_cloudy	weather-night-partly-cloudy	E37B	n
NightRain	Night	night_rain	weather-night-rain	E333	r
NightRainMix	Night	night_rain_mix	weather-night-rain-mix	E331	r
NightRainWind	Night	night_rain_wind	weather-night-rain-wind	E332	r
NightShowers	Night	night_showers	weather-night-showers	E334	r
NightSleet	Night	night_sleet	weather-night-sleet	E3AB	*
NightSleetStorm	Night	night_sleet_storm	weather-night-sleet-storm	E363	*
NightSnow	Night	night_snow	weather-night-snow	E335	*
NightSnowThunderstorm	Night	night_snow_thunderstorm	weather-night-snow-thunderstorm	E366	*
NightSnowWind	Night	night_snow_wind	weather-night-snow-wind	E360	*
NightSprinkle	Night	night_sprinkle	weather-night-sprinkle	E336	n
NightStormShowers	Night	night_storm_showers	weather-night-storm-showers	E337	r
NightThunderstorm	Night	night_thunderstorm	weather-night-thunderstorm	E338	n
