name	category	nerd_suffix	path	codepoint	ascii
Cloud	Cloud	cloud	weather-cloud	E33D	c
CloudDown	Cloud	cloud_down	weather-cloud-down	E33A	c
CloudRefresh	Cloud	cloud_refresh	weather-cloud-refresh	E33B	c
CloudUp	Cloud	cloud_up	weather-cloud-up	E33C	c
Cloudy	Cloud	cloudy	weather-cloudy	E312	c
CloudyGusts	Cloud	cloudy_gusts	weather-cloudy-gusts	E310	c
CloudyWindy	Cloud	cloudy_windy	weather-cloudy-windy	E311	~
Fog	Cloud	fog	weather-fog	E313	c
Hail	Cloud	hail	weather-hail	E314	*
Hurricane	Storm	hurricane	weather-hurricane	E36C	*
HurricaneWarning	Storm	hurricane_warning	weather-hurricane-warning	E3C7	*
Lightning	Storm	lightning	weather-lightning	E315	!
Rain	Precipitation	rain	weather-rain	E318	r
RainMix	Precipitation	rain_mix	weather-rain-mix	E316	r
RainWind	Precipitation	rain_wind	weather-rain-wind	E317	r
Raindrop	Precipitation	raindrop	weather-raindrop	E371	r
Raindrops	Precipitation	raindrops	weather-raindrops	E34A	r
Sandstorm	Storm	sandstorm	weather-sandstorm	E37A	!
Showers	Precipitation	showers	weather-showers	E319	r
Sleet	Precipitation	sleet	weather-sleet	E3AD	*
Snow	Precipitation	snow	weather-snow	E31A	*
SnowWind	Precipitation	snow_wind	weather-snow-wind	E35E	*
SnowflakeCold	Precipitation	snowflake_cold	weather-snowflake-cold	E36F	*
Sprinkle	Precipitation	sprinkle	weather-sprinkle	E31B	*
StormShowers	Storm	storm_showers	weather-storm-showers	E31C	r
StormWarning	Storm	storm_warning	weather-storm-warning	E3C6	!
StrongWind	Wind	strong_wind	weather-strong-wind	E34B	~
Thunderstorm	Storm	thunderstorm	weather-thunderstorm	E31D	!
Tornado	Storm	tornado	weather-tornado	E351	~
Train	Precipitation	train	weather-train	E3C3	r
WindBeaufort0	Wind	wind_beaufort_0	weather-wind-beaufort-0	E3AF	~
WindBeaufort1	Wind	wind_beaufort_1	weather-wind-beaufort-1	E3B0	~
WindBeaufort10	Wind	wind_beaufort_10	weather-wind-beaufort-10	E3B9	~
WindBeaufort11	Wind	wind_beaufort_11	weather-wind-beaufort-11	E3BA	~
WindBeaufort12	Wind	wind_beaufort_12	weather-wind-beaufort-12	E3BB	~
WindBeaufort2	Wind	wind_beaufort_2	weather-wind-beaufort-2	E3B1	~
WindBeaufort3	Wind	wind_beaufort_3	weather-wind-beaufort-3	E3B2	~
WindBeaufort4	Wind	wind_beaufort_4	weather-wind-beaufort-4	E3B3	~
WindBeaufort5	Wind	wind_beaufort_5	weather-wind-beaufort-5	E3B4	~
WindBeaufort6	Wind	wind_beaufort_6	weather-wind-beaufort-6	E3B5	~
WindBeaufort7	Wind	wind_beaufort_7	weather-wind-beaufort-7	E3B6	~
WindBeaufort8	Wind	wind_beaufort_8	weather-wind-beaufort-8	E3B7	~
WindBeaufort9	Wind	wind_beaufort_9	weather-wind-beaufort-9	E3B8	~
WindDirection	Wind	wind_direction	weather-wind-direction	E3A9	~
WindEast	Wind	wind_east	weather-wind-east	E35B	~
WindNorth	Wind	wind_north	weather-wind-north	E35A	~
WindNorthEast	Wind	wind_north_east	weather-wind-north-east	E359	~
WindNorthWest	Wind	wind_north_west	weather-wind-north-west	E358	~
WindSouth	Wind	wind_south	weather-wind-south	E357	~
WindSouthEast	Wind	wind_south_east	weather-wind-south-east	E356	~
WindSouthWest	Wind	wind_south_west	weather-wind-south-west	E355	~
WindWest	Wind	wind_west	weather-wind-west	E354	~
Windy	Wind	windy	weather-windy	E31E	~
