name	category	nerd_suffix	path	codepoint	ascii
Alien	Astronomy	alien	weather-alien	E36E	*
Aliens	Astronomy	aliens	weather-aliens	E345	*
Barometer	Pressure	barometer	weather-barometer	E372	*
Celsius	Temperature	celsius	weather-celsius	E339	T
Degrees	Temperature	degrees	weather-degrees	E33E	*
DirectionDown	Direction	direction_down	weather-direction-down	E340	>
DirectionDownLeft	Direction	direction_down_left	weather-direction-down-left	E33F	>
DirectionDownRight	Direction	direction_down_right	weather-direction-down-right	E380	>
DirectionLeft	Direction	direction_left	weather-direction-left	E344	>
DirectionRight	Direction	direction_right	weather-direction-right	E349	>
DirectionUp	Direction	direction_up	weather-direction-up	E353	>
DirectionUpLeft	Direction	direction_up_left	weather-direction-up-left	E37F	>
DirectionUpRight	Direction	direction_up_right	weather-direction-up-right	E352	>
Dust	Hazard	dust	weather-dust	E35D	*
Earthquake	Hazard	earthquake	weather-earthquake	E3BE	*
Fahrenheit	Temperature	fahrenheit	weather-fahrenheit	E341	T
Fire	Hazard	fire	weather-fire	E3BF	*
Flood	Hazard	flood	weather-flood	E375	*
GaleWarning	Marine	gale_warning	weather-gale-warning	E3C5	*
Horizon	Navigation	horizon	weather-horizon	E343	*
HorizonAlt	Navigation	horizon_alt	weather-horizon-alt	E342	*
Hot	Temperature	hot	weather-hot	E36B	*
Humidity	Pressure	humidity	weather-humidity	E373	*
LunarEclipse	Astronomy	lunar_eclipse	weather-lunar-eclipse	E369	*
Meteor	Hazard	meteor	weather-meteor	E36A	*
Moonrise	Astronomy	moonrise	weather-moonrise	E3C1	n
Moonset	Astronomy	moonset	weather-moonset	E3C2	n
Na	Beach	na	weather-na	E374	*
Refresh	Navigation	refresh	weather-refresh	E348	*
RefreshAlt	Navigation	refresh_alt	weather-refresh-alt	E347	*
SmallCraftAdvisory	Marine	small_craft_advisory	weather-small-craft-advisory	E3C4	*
Smog	Hazard	smog	weather-smog	E36D	*
Smoke	Hazard	smoke	weather-smoke	E35C	*
SolarEclipse	Sun	solar_eclipse	weather-solar-eclipse	E368	*
Stars	Astronomy	stars	weather-stars	E370	*
Sunrise	Sun	sunrise	weather-sunrise	E34C	o
Sunset	Sun	sunset	weather-sunset	E34D	o
Thermometer	Temperature	thermometer	weather-thermometer	E350	T
ThermometerExterior	Temperature	thermometer_exterior	weather-thermometer-exterior	E34E	T
ThermometerInternal	Temperature	thermometer_internal	weather-thermometer-internal	E34F	T
Time1	Time	time_1	weather-time-1	E382	t
Time10	Time	time_10	weather-time-10	E38B	t
Time11	Time	time_11	weather-time-11	E38C	t
Time12	Time	time_12	weather-time-12	E381	t
Time2	Time	time_2	weather-time-2	E383	t
Time3	Time	time_3	weather-time-3	E384	t
Time4	Time	time_4	weather-time-4	E385	t
Time5	Time	time_5	weather-time-5	E386	t
Time6	Time	time_6	weather-time-6	E387	t
Time7	Time	time_7	weather-time-7	E388	t
Time8	Time	time_8	weather-time-8	E389	t
Time9	Time	time_9	weather-time-9	E38A	t
Tsunami	Hazard	tsunami	weather-tsunami	E3BD	o
Umbrella	Beach	umbrella	weather-umbrella	E37C	u
Volcano	Hazard	volcano	weather-volcano	E3C0	*
